priority,module_id,module,slug,epic,story,target_files
P1,2,Client Onboarding Command Center,client-onboarding-command-center,operations,write deep spec,apps/api/src/routes/client-onboarding-command-center.ts; apps/api/src/validators/client-onboarding-command-center.ts; packages/sdk/src/client-onboarding-command-center.ts; apps/web/app/(portal)/portal/client-onboarding-command-center/page.tsx; supabase/migrations/<timestamp>_client_onboarding_command_center.sql
P1,2,Client Onboarding Command Center,client-onboarding-command-center,operations,create migration and RLS,apps/api/src/routes/client-onboarding-command-center.ts; apps/api/src/validators/client-onboarding-command-center.ts; packages/sdk/src/client-onboarding-command-center.ts; apps/web/app/(portal)/portal/client-onboarding-command-center/page.tsx; supabase/migrations/<timestamp>_client_onboarding_command_center.sql
P1,2,Client Onboarding Command Center,client-onboarding-command-center,operations,add validator/service/API route,apps/api/src/routes/client-onboarding-command-center.ts; apps/api/src/validators/client-onboarding-command-center.ts; packages/sdk/src/client-onboarding-command-center.ts; apps/web/app/(portal)/portal/client-onboarding-command-center/page.tsx; supabase/migrations/<timestamp>_client_onboarding_command_center.sql
P1,2,Client Onboarding Command Center,client-onboarding-command-center,operations,register API route,apps/api/src/routes/client-onboarding-command-center.ts; apps/api/src/validators/client-onboarding-command-center.ts; packages/sdk/src/client-onboarding-command-center.ts; apps/web/app/(portal)/portal/client-onboarding-command-center/page.tsx; supabase/migrations/<timestamp>_client_onboarding_command_center.sql
P1,2,Client Onboarding Command Center,client-onboarding-command-center,operations,add SDK wrapper,apps/api/src/routes/client-onboarding-command-center.ts; apps/api/src/validators/client-onboarding-command-center.ts; packages/sdk/src/client-onboarding-command-center.ts; apps/web/app/(portal)/portal/client-onboarding-command-center/page.tsx; supabase/migrations/<timestamp>_client_onboarding_command_center.sql
P1,2,Client Onboarding Command Center,client-onboarding-command-center,operations,add portal UI,apps/api/src/routes/client-onboarding-command-center.ts; apps/api/src/validators/client-onboarding-command-center.ts; packages/sdk/src/client-onboarding-command-center.ts; apps/web/app/(portal)/portal/client-onboarding-command-center/page.tsx; supabase/migrations/<timestamp>_client_onboarding_command_center.sql
P1,2,Client Onboarding Command Center,client-onboarding-command-center,operations,add worker task if needed,apps/api/src/routes/client-onboarding-command-center.ts; apps/api/src/validators/client-onboarding-command-center.ts; packages/sdk/src/client-onboarding-command-center.ts; apps/web/app/(portal)/portal/client-onboarding-command-center/page.tsx; supabase/migrations/<timestamp>_client_onboarding_command_center.sql
P1,2,Client Onboarding Command Center,client-onboarding-command-center,operations,add tests/E2E,apps/api/src/routes/client-onboarding-command-center.ts; apps/api/src/validators/client-onboarding-command-center.ts; packages/sdk/src/client-onboarding-command-center.ts; apps/web/app/(portal)/portal/client-onboarding-command-center/page.tsx; supabase/migrations/<timestamp>_client_onboarding_command_center.sql
P1,2,Client Onboarding Command Center,client-onboarding-command-center,operations,add docs/runbook,apps/api/src/routes/client-onboarding-command-center.ts; apps/api/src/validators/client-onboarding-command-center.ts; packages/sdk/src/client-onboarding-command-center.ts; apps/web/app/(portal)/portal/client-onboarding-command-center/page.tsx; supabase/migrations/<timestamp>_client_onboarding_command_center.sql
P1,2,Client Onboarding Command Center,client-onboarding-command-center,operations,run audit prompt and remediate,apps/api/src/routes/client-onboarding-command-center.ts; apps/api/src/validators/client-onboarding-command-center.ts; packages/sdk/src/client-onboarding-command-center.ts; apps/web/app/(portal)/portal/client-onboarding-command-center/page.tsx; supabase/migrations/<timestamp>_client_onboarding_command_center.sql
P1,3,M365 Tenant Hardening Scanner,m365-tenant-hardening-scanner,security,write deep spec,apps/api/src/routes/m365-tenant-hardening-scanner.ts; apps/api/src/validators/m365-tenant-hardening-scanner.ts; packages/sdk/src/m365-tenant-hardening-scanner.ts; apps/web/app/(portal)/portal/m365-tenant-hardening-scanner/page.tsx; supabase/migrations/<timestamp>_m365_tenant_hardening_scanner.sql
P1,3,M365 Tenant Hardening Scanner,m365-tenant-hardening-scanner,security,create migration and RLS,apps/api/src/routes/m365-tenant-hardening-scanner.ts; apps/api/src/validators/m365-tenant-hardening-scanner.ts; packages/sdk/src/m365-tenant-hardening-scanner.ts; apps/web/app/(portal)/portal/m365-tenant-hardening-scanner/page.tsx; supabase/migrations/<timestamp>_m365_tenant_hardening_scanner.sql
P1,3,M365 Tenant Hardening Scanner,m365-tenant-hardening-scanner,security,add validator/service/API route,apps/api/src/routes/m365-tenant-hardening-scanner.ts; apps/api/src/validators/m365-tenant-hardening-scanner.ts; packages/sdk/src/m365-tenant-hardening-scanner.ts; apps/web/app/(portal)/portal/m365-tenant-hardening-scanner/page.tsx; supabase/migrations/<timestamp>_m365_tenant_hardening_scanner.sql
P1,3,M365 Tenant Hardening Scanner,m365-tenant-hardening-scanner,security,register API route,apps/api/src/routes/m365-tenant-hardening-scanner.ts; apps/api/src/validators/m365-tenant-hardening-scanner.ts; packages/sdk/src/m365-tenant-hardening-scanner.ts; apps/web/app/(portal)/portal/m365-tenant-hardening-scanner/page.tsx; supabase/migrations/<timestamp>_m365_tenant_hardening_scanner.sql
P1,3,M365 Tenant Hardening Scanner,m365-tenant-hardening-scanner,security,add SDK wrapper,apps/api/src/routes/m365-tenant-hardening-scanner.ts; apps/api/src/validators/m365-tenant-hardening-scanner.ts; packages/sdk/src/m365-tenant-hardening-scanner.ts; apps/web/app/(portal)/portal/m365-tenant-hardening-scanner/page.tsx; supabase/migrations/<timestamp>_m365_tenant_hardening_scanner.sql
P1,3,M365 Tenant Hardening Scanner,m365-tenant-hardening-scanner,security,add portal UI,apps/api/src/routes/m365-tenant-hardening-scanner.ts; apps/api/src/validators/m365-tenant-hardening-scanner.ts; packages/sdk/src/m365-tenant-hardening-scanner.ts; apps/web/app/(portal)/portal/m365-tenant-hardening-scanner/page.tsx; supabase/migrations/<timestamp>_m365_tenant_hardening_scanner.sql
P1,3,M365 Tenant Hardening Scanner,m365-tenant-hardening-scanner,security,add worker task if needed,apps/api/src/routes/m365-tenant-hardening-scanner.ts; apps/api/src/validators/m365-tenant-hardening-scanner.ts; packages/sdk/src/m365-tenant-hardening-scanner.ts; apps/web/app/(portal)/portal/m365-tenant-hardening-scanner/page.tsx; supabase/migrations/<timestamp>_m365_tenant_hardening_scanner.sql
P1,3,M365 Tenant Hardening Scanner,m365-tenant-hardening-scanner,security,add tests/E2E,apps/api/src/routes/m365-tenant-hardening-scanner.ts; apps/api/src/validators/m365-tenant-hardening-scanner.ts; packages/sdk/src/m365-tenant-hardening-scanner.ts; apps/web/app/(portal)/portal/m365-tenant-hardening-scanner/page.tsx; supabase/migrations/<timestamp>_m365_tenant_hardening_scanner.sql
P1,3,M365 Tenant Hardening Scanner,m365-tenant-hardening-scanner,security,add docs/runbook,apps/api/src/routes/m365-tenant-hardening-scanner.ts; apps/api/src/validators/m365-tenant-hardening-scanner.ts; packages/sdk/src/m365-tenant-hardening-scanner.ts; apps/web/app/(portal)/portal/m365-tenant-hardening-scanner/page.tsx; supabase/migrations/<timestamp>_m365_tenant_hardening_scanner.sql
P1,3,M365 Tenant Hardening Scanner,m365-tenant-hardening-scanner,security,run audit prompt and remediate,apps/api/src/routes/m365-tenant-hardening-scanner.ts; apps/api/src/validators/m365-tenant-hardening-scanner.ts; packages/sdk/src/m365-tenant-hardening-scanner.ts; apps/web/app/(portal)/portal/m365-tenant-hardening-scanner/page.tsx; supabase/migrations/<timestamp>_m365_tenant_hardening_scanner.sql
P2,4,ISP Phone Network Consolidation Assessment,isp-phone-network-consolidation-assessment,sales-engineering,write deep spec,apps/api/src/routes/isp-phone-network-consolidation-assessment.ts; apps/api/src/validators/isp-phone-network-consolidation-assessment.ts; packages/sdk/src/isp-phone-network-consolidation-assessment.ts; apps/web/app/(portal)/portal/isp-phone-network-consolidation-assessment/page.tsx; supabase/migrations/<timestamp>_isp_phone_network_consolidation_assessment.sql
P2,4,ISP Phone Network Consolidation Assessment,isp-phone-network-consolidation-assessment,sales-engineering,create migration and RLS,apps/api/src/routes/isp-phone-network-consolidation-assessment.ts; apps/api/src/validators/isp-phone-network-consolidation-assessment.ts; packages/sdk/src/isp-phone-network-consolidation-assessment.ts; apps/web/app/(portal)/portal/isp-phone-network-consolidation-assessment/page.tsx; supabase/migrations/<timestamp>_isp_phone_network_consolidation_assessment.sql
P2,4,ISP Phone Network Consolidation Assessment,isp-phone-network-consolidation-assessment,sales-engineering,add validator/service/API route,apps/api/src/routes/isp-phone-network-consolidation-assessment.ts; apps/api/src/validators/isp-phone-network-consolidation-assessment.ts; packages/sdk/src/isp-phone-network-consolidation-assessment.ts; apps/web/app/(portal)/portal/isp-phone-network-consolidation-assessment/page.tsx; supabase/migrations/<timestamp>_isp_phone_network_consolidation_assessment.sql
P2,4,ISP Phone Network Consolidation Assessment,isp-phone-network-consolidation-assessment,sales-engineering,register API route,apps/api/src/routes/isp-phone-network-consolidation-assessment.ts; apps/api/src/validators/isp-phone-network-consolidation-assessment.ts; packages/sdk/src/isp-phone-network-consolidation-assessment.ts; apps/web/app/(portal)/portal/isp-phone-network-consolidation-assessment/page.tsx; supabase/migrations/<timestamp>_isp_phone_network_consolidation_assessment.sql
P2,4,ISP Phone Network Consolidation Assessment,isp-phone-network-consolidation-assessment,sales-engineering,add SDK wrapper,apps/api/src/routes/isp-phone-network-consolidation-assessment.ts; apps/api/src/validators/isp-phone-network-consolidation-assessment.ts; packages/sdk/src/isp-phone-network-consolidation-assessment.ts; apps/web/app/(portal)/portal/isp-phone-network-consolidation-assessment/page.tsx; supabase/migrations/<timestamp>_isp_phone_network_consolidation_assessment.sql
P2,4,ISP Phone Network Consolidation Assessment,isp-phone-network-consolidation-assessment,sales-engineering,add portal UI,apps/api/src/routes/isp-phone-network-consolidation-assessment.ts; apps/api/src/validators/isp-phone-network-consolidation-assessment.ts; packages/sdk/src/isp-phone-network-consolidation-assessment.ts; apps/web/app/(portal)/portal/isp-phone-network-consolidation-assessment/page.tsx; supabase/migrations/<timestamp>_isp_phone_network_consolidation_assessment.sql
P2,4,ISP Phone Network Consolidation Assessment,isp-phone-network-consolidation-assessment,sales-engineering,add worker task if needed,apps/api/src/routes/isp-phone-network-consolidation-assessment.ts; apps/api/src/validators/isp-phone-network-consolidation-assessment.ts; packages/sdk/src/isp-phone-network-consolidation-assessment.ts; apps/web/app/(portal)/portal/isp-phone-network-consolidation-assessment/page.tsx; supabase/migrations/<timestamp>_isp_phone_network_consolidation_assessment.sql
P2,4,ISP Phone Network Consolidation Assessment,isp-phone-network-consolidation-assessment,sales-engineering,add tests/E2E,apps/api/src/routes/isp-phone-network-consolidation-assessment.ts; apps/api/src/validators/isp-phone-network-consolidation-assessment.ts; packages/sdk/src/isp-phone-network-consolidation-assessment.ts; apps/web/app/(portal)/portal/isp-phone-network-consolidation-assessment/page.tsx; supabase/migrations/<timestamp>_isp_phone_network_consolidation_assessment.sql
P2,4,ISP Phone Network Consolidation Assessment,isp-phone-network-consolidation-assessment,sales-engineering,add docs/runbook,apps/api/src/routes/isp-phone-network-consolidation-assessment.ts; apps/api/src/validators/isp-phone-network-consolidation-assessment.ts; packages/sdk/src/isp-phone-network-consolidation-assessment.ts; apps/web/app/(portal)/portal/isp-phone-network-consolidation-assessment/page.tsx; supabase/migrations/<timestamp>_isp_phone_network_consolidation_assessment.sql
P2,4,ISP Phone Network Consolidation Assessment,isp-phone-network-consolidation-assessment,sales-engineering,run audit prompt and remediate,apps/api/src/routes/isp-phone-network-consolidation-assessment.ts; apps/api/src/validators/isp-phone-network-consolidation-assessment.ts; packages/sdk/src/isp-phone-network-consolidation-assessment.ts; apps/web/app/(portal)/portal/isp-phone-network-consolidation-assessment/page.tsx; supabase/migrations/<timestamp>_isp_phone_network_consolidation_assessment.sql
P2,5,UniFi Site Survey Deployment Planner,unifi-site-survey-deployment-planner,field-services,write deep spec,apps/api/src/routes/unifi-site-survey-deployment-planner.ts; apps/api/src/validators/unifi-site-survey-deployment-planner.ts; packages/sdk/src/unifi-site-survey-deployment-planner.ts; apps/web/app/(portal)/portal/unifi-site-survey-deployment-planner/page.tsx; supabase/migrations/<timestamp>_unifi_site_survey_deployment_planner.sql
P2,5,UniFi Site Survey Deployment Planner,unifi-site-survey-deployment-planner,field-services,create migration and RLS,apps/api/src/routes/unifi-site-survey-deployment-planner.ts; apps/api/src/validators/unifi-site-survey-deployment-planner.ts; packages/sdk/src/unifi-site-survey-deployment-planner.ts; apps/web/app/(portal)/portal/unifi-site-survey-deployment-planner/page.tsx; supabase/migrations/<timestamp>_unifi_site_survey_deployment_planner.sql
P2,5,UniFi Site Survey Deployment Planner,unifi-site-survey-deployment-planner,field-services,add validator/service/API route,apps/api/src/routes/unifi-site-survey-deployment-planner.ts; apps/api/src/validators/unifi-site-survey-deployment-planner.ts; packages/sdk/src/unifi-site-survey-deployment-planner.ts; apps/web/app/(portal)/portal/unifi-site-survey-deployment-planner/page.tsx; supabase/migrations/<timestamp>_unifi_site_survey_deployment_planner.sql
P2,5,UniFi Site Survey Deployment Planner,unifi-site-survey-deployment-planner,field-services,register API route,apps/api/src/routes/unifi-site-survey-deployment-planner.ts; apps/api/src/validators/unifi-site-survey-deployment-planner.ts; packages/sdk/src/unifi-site-survey-deployment-planner.ts; apps/web/app/(portal)/portal/unifi-site-survey-deployment-planner/page.tsx; supabase/migrations/<timestamp>_unifi_site_survey_deployment_planner.sql
P2,5,UniFi Site Survey Deployment Planner,unifi-site-survey-deployment-planner,field-services,add SDK wrapper,apps/api/src/routes/unifi-site-survey-deployment-planner.ts; apps/api/src/validators/unifi-site-survey-deployment-planner.ts; packages/sdk/src/unifi-site-survey-deployment-planner.ts; apps/web/app/(portal)/portal/unifi-site-survey-deployment-planner/page.tsx; supabase/migrations/<timestamp>_unifi_site_survey_deployment_planner.sql
P2,5,UniFi Site Survey Deployment Planner,unifi-site-survey-deployment-planner,field-services,add portal UI,apps/api/src/routes/unifi-site-survey-deployment-planner.ts; apps/api/src/validators/unifi-site-survey-deployment-planner.ts; packages/sdk/src/unifi-site-survey-deployment-planner.ts; apps/web/app/(portal)/portal/unifi-site-survey-deployment-planner/page.tsx; supabase/migrations/<timestamp>_unifi_site_survey_deployment_planner.sql
P2,5,UniFi Site Survey Deployment Planner,unifi-site-survey-deployment-planner,field-services,add worker task if needed,apps/api/src/routes/unifi-site-survey-deployment-planner.ts; apps/api/src/validators/unifi-site-survey-deployment-planner.ts; packages/sdk/src/unifi-site-survey-deployment-planner.ts; apps/web/app/(portal)/portal/unifi-site-survey-deployment-planner/page.tsx; supabase/migrations/<timestamp>_unifi_site_survey_deployment_planner.sql
P2,5,UniFi Site Survey Deployment Planner,unifi-site-survey-deployment-planner,field-services,add tests/E2E,apps/api/src/routes/unifi-site-survey-deployment-planner.ts; apps/api/src/validators/unifi-site-survey-deployment-planner.ts; packages/sdk/src/unifi-site-survey-deployment-planner.ts; apps/web/app/(portal)/portal/unifi-site-survey-deployment-planner/page.tsx; supabase/migrations/<timestamp>_unifi_site_survey_deployment_planner.sql
P2,5,UniFi Site Survey Deployment Planner,unifi-site-survey-deployment-planner,field-services,add docs/runbook,apps/api/src/routes/unifi-site-survey-deployment-planner.ts; apps/api/src/validators/unifi-site-survey-deployment-planner.ts; packages/sdk/src/unifi-site-survey-deployment-planner.ts; apps/web/app/(portal)/portal/unifi-site-survey-deployment-planner/page.tsx; supabase/migrations/<timestamp>_unifi_site_survey_deployment_planner.sql
P2,5,UniFi Site Survey Deployment Planner,unifi-site-survey-deployment-planner,field-services,run audit prompt and remediate,apps/api/src/routes/unifi-site-survey-deployment-planner.ts; apps/api/src/validators/unifi-site-survey-deployment-planner.ts; packages/sdk/src/unifi-site-survey-deployment-planner.ts; apps/web/app/(portal)/portal/unifi-site-survey-deployment-planner/page.tsx; supabase/migrations/<timestamp>_unifi_site_survey_deployment_planner.sql
P2,6,MSP SOP Library Compliance Mapper,msp-sop-library-compliance-mapper,governance,write deep spec,apps/api/src/routes/msp-sop-library-compliance-mapper.ts; apps/api/src/validators/msp-sop-library-compliance-mapper.ts; packages/sdk/src/msp-sop-library-compliance-mapper.ts; apps/web/app/(portal)/portal/msp-sop-library-compliance-mapper/page.tsx; supabase/migrations/<timestamp>_msp_sop_library_compliance_mapper.sql
P2,6,MSP SOP Library Compliance Mapper,msp-sop-library-compliance-mapper,governance,create migration and RLS,apps/api/src/routes/msp-sop-library-compliance-mapper.ts; apps/api/src/validators/msp-sop-library-compliance-mapper.ts; packages/sdk/src/msp-sop-library-compliance-mapper.ts; apps/web/app/(portal)/portal/msp-sop-library-compliance-mapper/page.tsx; supabase/migrations/<timestamp>_msp_sop_library_compliance_mapper.sql
P2,6,MSP SOP Library Compliance Mapper,msp-sop-library-compliance-mapper,governance,add validator/service/API route,apps/api/src/routes/msp-sop-library-compliance-mapper.ts; apps/api/src/validators/msp-sop-library-compliance-mapper.ts; packages/sdk/src/msp-sop-library-compliance-mapper.ts; apps/web/app/(portal)/portal/msp-sop-library-compliance-mapper/page.tsx; supabase/migrations/<timestamp>_msp_sop_library_compliance_mapper.sql
P2,6,MSP SOP Library Compliance Mapper,msp-sop-library-compliance-mapper,governance,register API route,apps/api/src/routes/msp-sop-library-compliance-mapper.ts; apps/api/src/validators/msp-sop-library-compliance-mapper.ts; packages/sdk/src/msp-sop-library-compliance-mapper.ts; apps/web/app/(portal)/portal/msp-sop-library-compliance-mapper/page.tsx; supabase/migrations/<timestamp>_msp_sop_library_compliance_mapper.sql
P2,6,MSP SOP Library Compliance Mapper,msp-sop-library-compliance-mapper,governance,add SDK wrapper,apps/api/src/routes/msp-sop-library-compliance-mapper.ts; apps/api/src/validators/msp-sop-library-compliance-mapper.ts; packages/sdk/src/msp-sop-library-compliance-mapper.ts; apps/web/app/(portal)/portal/msp-sop-library-compliance-mapper/page.tsx; supabase/migrations/<timestamp>_msp_sop_library_compliance_mapper.sql
P2,6,MSP SOP Library Compliance Mapper,msp-sop-library-compliance-mapper,governance,add portal UI,apps/api/src/routes/msp-sop-library-compliance-mapper.ts; apps/api/src/validators/msp-sop-library-compliance-mapper.ts; packages/sdk/src/msp-sop-library-compliance-mapper.ts; apps/web/app/(portal)/portal/msp-sop-library-compliance-mapper/page.tsx; supabase/migrations/<timestamp>_msp_sop_library_compliance_mapper.sql
P2,6,MSP SOP Library Compliance Mapper,msp-sop-library-compliance-mapper,governance,add worker task if needed,apps/api/src/routes/msp-sop-library-compliance-mapper.ts; apps/api/src/validators/msp-sop-library-compliance-mapper.ts; packages/sdk/src/msp-sop-library-compliance-mapper.ts; apps/web/app/(portal)/portal/msp-sop-library-compliance-mapper/page.tsx; supabase/migrations/<timestamp>_msp_sop_library_compliance_mapper.sql
P2,6,MSP SOP Library Compliance Mapper,msp-sop-library-compliance-mapper,governance,add tests/E2E,apps/api/src/routes/msp-sop-library-compliance-mapper.ts; apps/api/src/validators/msp-sop-library-compliance-mapper.ts; packages/sdk/src/msp-sop-library-compliance-mapper.ts; apps/web/app/(portal)/portal/msp-sop-library-compliance-mapper/page.tsx; supabase/migrations/<timestamp>_msp_sop_library_compliance_mapper.sql
P2,6,MSP SOP Library Compliance Mapper,msp-sop-library-compliance-mapper,governance,add docs/runbook,apps/api/src/routes/msp-sop-library-compliance-mapper.ts; apps/api/src/validators/msp-sop-library-compliance-mapper.ts; packages/sdk/src/msp-sop-library-compliance-mapper.ts; apps/web/app/(portal)/portal/msp-sop-library-compliance-mapper/page.tsx; supabase/migrations/<timestamp>_msp_sop_library_compliance_mapper.sql
P2,6,MSP SOP Library Compliance Mapper,msp-sop-library-compliance-mapper,governance,run audit prompt and remediate,apps/api/src/routes/msp-sop-library-compliance-mapper.ts; apps/api/src/validators/msp-sop-library-compliance-mapper.ts; packages/sdk/src/msp-sop-library-compliance-mapper.ts; apps/web/app/(portal)/portal/msp-sop-library-compliance-mapper/page.tsx; supabase/migrations/<timestamp>_msp_sop_library_compliance_mapper.sql
P1,7,Security Incident Response Runbook App,security-incident-response-runbook-app,security,write deep spec,apps/api/src/routes/security-incident-response-runbook-app.ts; apps/api/src/validators/security-incident-response-runbook-app.ts; packages/sdk/src/security-incident-response-runbook-app.ts; apps/web/app/(portal)/portal/security-incident-response-runbook-app/page.tsx; supabase/migrations/<timestamp>_security_incident_response_runbook_app.sql
P1,7,Security Incident Response Runbook App,security-incident-response-runbook-app,security,create migration and RLS,apps/api/src/routes/security-incident-response-runbook-app.ts; apps/api/src/validators/security-incident-response-runbook-app.ts; packages/sdk/src/security-incident-response-runbook-app.ts; apps/web/app/(portal)/portal/security-incident-response-runbook-app/page.tsx; supabase/migrations/<timestamp>_security_incident_response_runbook_app.sql
P1,7,Security Incident Response Runbook App,security-incident-response-runbook-app,security,add validator/service/API route,apps/api/src/routes/security-incident-response-runbook-app.ts; apps/api/src/validators/security-incident-response-runbook-app.ts; packages/sdk/src/security-incident-response-runbook-app.ts; apps/web/app/(portal)/portal/security-incident-response-runbook-app/page.tsx; supabase/migrations/<timestamp>_security_incident_response_runbook_app.sql
P1,7,Security Incident Response Runbook App,security-incident-response-runbook-app,security,register API route,apps/api/src/routes/security-incident-response-runbook-app.ts; apps/api/src/validators/security-incident-response-runbook-app.ts; packages/sdk/src/security-incident-response-runbook-app.ts; apps/web/app/(portal)/portal/security-incident-response-runbook-app/page.tsx; supabase/migrations/<timestamp>_security_incident_response_runbook_app.sql
P1,7,Security Incident Response Runbook App,security-incident-response-runbook-app,security,add SDK wrapper,apps/api/src/routes/security-incident-response-runbook-app.ts; apps/api/src/validators/security-incident-response-runbook-app.ts; packages/sdk/src/security-incident-response-runbook-app.ts; apps/web/app/(portal)/portal/security-incident-response-runbook-app/page.tsx; supabase/migrations/<timestamp>_security_incident_response_runbook_app.sql
P1,7,Security Incident Response Runbook App,security-incident-response-runbook-app,security,add portal UI,apps/api/src/routes/security-incident-response-runbook-app.ts; apps/api/src/validators/security-incident-response-runbook-app.ts; packages/sdk/src/security-incident-response-runbook-app.ts; apps/web/app/(portal)/portal/security-incident-response-runbook-app/page.tsx; supabase/migrations/<timestamp>_security_incident_response_runbook_app.sql
P1,7,Security Incident Response Runbook App,security-incident-response-runbook-app,security,add worker task if needed,apps/api/src/routes/security-incident-response-runbook-app.ts; apps/api/src/validators/security-incident-response-runbook-app.ts; packages/sdk/src/security-incident-response-runbook-app.ts; apps/web/app/(portal)/portal/security-incident-response-runbook-app/page.tsx; supabase/migrations/<timestamp>_security_incident_response_runbook_app.sql
P1,7,Security Incident Response Runbook App,security-incident-response-runbook-app,security,add tests/E2E,apps/api/src/routes/security-incident-response-runbook-app.ts; apps/api/src/validators/security-incident-response-runbook-app.ts; packages/sdk/src/security-incident-response-runbook-app.ts; apps/web/app/(portal)/portal/security-incident-response-runbook-app/page.tsx; supabase/migrations/<timestamp>_security_incident_response_runbook_app.sql
P1,7,Security Incident Response Runbook App,security-incident-response-runbook-app,security,add docs/runbook,apps/api/src/routes/security-incident-response-runbook-app.ts; apps/api/src/validators/security-incident-response-runbook-app.ts; packages/sdk/src/security-incident-response-runbook-app.ts; apps/web/app/(portal)/portal/security-incident-response-runbook-app/page.tsx; supabase/migrations/<timestamp>_security_incident_response_runbook_app.sql
P1,7,Security Incident Response Runbook App,security-incident-response-runbook-app,security,run audit prompt and remediate,apps/api/src/routes/security-incident-response-runbook-app.ts; apps/api/src/validators/security-incident-response-runbook-app.ts; packages/sdk/src/security-incident-response-runbook-app.ts; apps/web/app/(portal)/portal/security-incident-response-runbook-app/page.tsx; supabase/migrations/<timestamp>_security_incident_response_runbook_app.sql
