id,module,slug,category,impact,users,components,api_route,web_route,sdk_file,worker_task,migration,feature_doc,runbook
24,Secure File Request Portal,secure-file-request-portal,client-ops,High,"MSP admin, client user","api,web,sdk,db",apps/api/src/routes/secure-file-request-portal.ts,apps/web/app/(portal)/portal/secure-file-request-portal/page.tsx,packages/sdk/src/secure-file-request-portal.ts,,supabase/migrations/<timestamp>_secure_file_request_portal.sql,docs/features/secure-file-request-portal.md,docs/runbooks/secure-file-request-portal.md
25,Client Training Microlearning Hub,client-training-microlearning-hub,training,High,"Client users, training admin","api,web,sdk,db",apps/api/src/routes/client-training-microlearning-hub.ts,apps/web/app/(portal)/portal/client-training-microlearning-hub/page.tsx,packages/sdk/src/client-training-microlearning-hub.ts,,supabase/migrations/<timestamp>_client_training_microlearning_hub.sql,docs/features/client-training-microlearning-hub.md,docs/runbooks/client-training-microlearning-hub.md
26,Cyber Insurance Evidence Binder,cyber-insurance-evidence-binder,compliance,High,"MSP advisor, client executive","api,web,sdk,db",apps/api/src/routes/cyber-insurance-evidence-binder.ts,apps/web/app/(portal)/portal/cyber-insurance-evidence-binder/page.tsx,packages/sdk/src/cyber-insurance-evidence-binder.ts,,supabase/migrations/<timestamp>_cyber_insurance_evidence_binder.sql,docs/features/cyber-insurance-evidence-binder.md,docs/runbooks/cyber-insurance-evidence-binder.md
27,Public Status Page Maintenance Notices,public-status-page-maintenance-notices,communications,High,"MSP admin, client users","api,web,sdk,worker,db",apps/api/src/routes/public-status-page-maintenance-notices.ts,apps/web/app/(portal)/portal/public-status-page-maintenance-notices/page.tsx,packages/sdk/src/public-status-page-maintenance-notices.ts,apps/worker/src/tasks/public-status-page-maintenance-notices.ts,supabase/migrations/<timestamp>_public_status_page_maintenance_notices.sql,docs/features/public-status-page-maintenance-notices.md,docs/runbooks/public-status-page-maintenance-notices.md
28,Website Uptime SSL Lighthouse Monitor,website-uptime-ssl-lighthouse-monitor,web-ops,High,"Web admin, MSP operator","api,web,sdk,worker,db",apps/api/src/routes/website-uptime-ssl-lighthouse-monitor.ts,apps/web/app/(portal)/portal/website-uptime-ssl-lighthouse-monitor/page.tsx,packages/sdk/src/website-uptime-ssl-lighthouse-monitor.ts,apps/worker/src/tasks/website-uptime-ssl-lighthouse-monitor.ts,supabase/migrations/<timestamp>_website_uptime_ssl_lighthouse_monitor.sql,docs/features/website-uptime-ssl-lighthouse-monitor.md,docs/runbooks/website-uptime-ssl-lighthouse-monitor.md
29,Network Port Map Patch Panel Tracker,network-port-map-patch-panel-tracker,networking,High,"Network tech, client IT contact","api,web,sdk,db",apps/api/src/routes/network-port-map-patch-panel-tracker.ts,apps/web/app/(portal)/portal/network-port-map-patch-panel-tracker/page.tsx,packages/sdk/src/network-port-map-patch-panel-tracker.ts,,supabase/migrations/<timestamp>_network_port_map_patch_panel_tracker.sql,docs/features/network-port-map-patch-panel-tracker.md,docs/runbooks/network-port-map-patch-panel-tracker.md
30,Camera Retention Storage Calculator,camera-retention-storage-calculator,field-services,Medium,"Field tech, client stakeholder","api,web,sdk,db",apps/api/src/routes/camera-retention-storage-calculator.ts,apps/web/app/(portal)/portal/camera-retention-storage-calculator/page.tsx,packages/sdk/src/camera-retention-storage-calculator.ts,,supabase/migrations/<timestamp>_camera_retention_storage_calculator.sql,docs/features/camera-retention-storage-calculator.md,docs/runbooks/camera-retention-storage-calculator.md
31,PowerShell Script Builder Policy Guard,powershell-script-builder-policy-guard,automation-ai,High,"Automation engineer, MSP admin","api,web,sdk,db",apps/api/src/routes/powershell-script-builder-policy-guard.ts,apps/web/app/(portal)/portal/powershell-script-builder-policy-guard/page.tsx,packages/sdk/src/powershell-script-builder-policy-guard.ts,,supabase/migrations/<timestamp>_powershell_script_builder_policy_guard.sql,docs/features/powershell-script-builder-policy-guard.md,docs/runbooks/powershell-script-builder-policy-guard.md
32,Client Runbook Builder,client-runbook-builder,documentation,High,"MSP admin, technician","api,web,sdk,db",apps/api/src/routes/client-runbook-builder.ts,apps/web/app/(portal)/portal/client-runbook-builder/page.tsx,packages/sdk/src/client-runbook-builder.ts,,supabase/migrations/<timestamp>_client_runbook_builder.sql,docs/features/client-runbook-builder.md,docs/runbooks/client-runbook-builder.md
33,Change Advisory Mini-CAB Tool,change-advisory-mini-cab-tool,governance,High,"MSP owner, technician, client approver","api,web,sdk,db",apps/api/src/routes/change-advisory-mini-cab-tool.ts,apps/web/app/(portal)/portal/change-advisory-mini-cab-tool/page.tsx,packages/sdk/src/change-advisory-mini-cab-tool.ts,,supabase/migrations/<timestamp>_change_advisory_mini_cab_tool.sql,docs/features/change-advisory-mini-cab-tool.md,docs/runbooks/change-advisory-mini-cab-tool.md
34,Vendor Contract Renewal Calendar,vendor-contract-renewal-calendar,business-ops,High,"MSP owner, client finance contact","api,web,sdk,worker,db",apps/api/src/routes/vendor-contract-renewal-calendar.ts,apps/web/app/(portal)/portal/vendor-contract-renewal-calendar/page.tsx,packages/sdk/src/vendor-contract-renewal-calendar.ts,apps/worker/src/tasks/vendor-contract-renewal-calendar.ts,supabase/migrations/<timestamp>_vendor_contract_renewal_calendar.sql,docs/features/vendor-contract-renewal-calendar.md,docs/runbooks/vendor-contract-renewal-calendar.md
35,Client Budget Roadmap Planner,client-budget-roadmap-planner,client-success,High,"MSP advisor, client executive","api,web,sdk,db",apps/api/src/routes/client-budget-roadmap-planner.ts,apps/web/app/(portal)/portal/client-budget-roadmap-planner/page.tsx,packages/sdk/src/client-budget-roadmap-planner.ts,,supabase/migrations/<timestamp>_client_budget_roadmap_planner.sql,docs/features/client-budget-roadmap-planner.md,docs/runbooks/client-budget-roadmap-planner.md
36,M365 Offboarding Safety Checklist,m365-offboarding-safety-checklist,identity,Very High,"Service desk, HR/client manager","api,web,sdk,db",apps/api/src/routes/m365-offboarding-safety-checklist.ts,apps/web/app/(portal)/portal/m365-offboarding-safety-checklist/page.tsx,packages/sdk/src/m365-offboarding-safety-checklist.ts,,supabase/migrations/<timestamp>_m365_offboarding_safety_checklist.sql,docs/features/m365-offboarding-safety-checklist.md,docs/runbooks/m365-offboarding-safety-checklist.md
37,Phishing Simulation Lite,phishing-simulation-lite,training-security,Medium,"Training admin, MSP security lead","api,web,sdk,worker,db",apps/api/src/routes/phishing-simulation-lite.ts,apps/web/app/(portal)/portal/phishing-simulation-lite/page.tsx,packages/sdk/src/phishing-simulation-lite.ts,apps/worker/src/tasks/phishing-simulation-lite.ts,supabase/migrations/<timestamp>_phishing_simulation_lite.sql,docs/features/phishing-simulation-lite.md,docs/runbooks/phishing-simulation-lite.md
38,Client Satisfaction Pulse Widget,client-satisfaction-pulse-widget,client-success,High,"Client success lead, MSP owner","api,web,sdk,db",apps/api/src/routes/client-satisfaction-pulse-widget.ts,apps/web/app/(portal)/portal/client-satisfaction-pulse-widget/page.tsx,packages/sdk/src/client-satisfaction-pulse-widget.ts,,supabase/migrations/<timestamp>_client_satisfaction_pulse_widget.sql,docs/features/client-satisfaction-pulse-widget.md,docs/runbooks/client-satisfaction-pulse-widget.md
39,Fun Cyber Scoreboard Mascot,fun-cyber-scoreboard-mascot,fun-client-engagement,Medium,"Client users, MSP advisor","api,web,sdk,db",apps/api/src/routes/fun-cyber-scoreboard-mascot.ts,apps/web/app/(portal)/portal/fun-cyber-scoreboard-mascot/page.tsx,packages/sdk/src/fun-cyber-scoreboard-mascot.ts,,supabase/migrations/<timestamp>_fun_cyber_scoreboard_mascot.sql,docs/features/fun-cyber-scoreboard-mascot.md,docs/runbooks/fun-cyber-scoreboard-mascot.md
40,Small Business AI Policy Assistant,small-business-ai-policy-assistant,advisory-ai,High,"MSP advisor, client leadership","api,web,sdk,db",apps/api/src/routes/small-business-ai-policy-assistant.ts,apps/web/app/(portal)/portal/small-business-ai-policy-assistant/page.tsx,packages/sdk/src/small-business-ai-policy-assistant.ts,,supabase/migrations/<timestamp>_small_business_ai_policy_assistant.sql,docs/features/small-business-ai-policy-assistant.md,docs/runbooks/small-business-ai-policy-assistant.md
41,AI Service Desk Copilot Console,ai-service-desk-copilot-console,support-ai,Very High,"Service desk, technician, MSP owner","api,web,sdk,db",apps/api/src/routes/ai-service-desk-copilot-console.ts,apps/web/app/(portal)/portal/ai-service-desk-copilot-console/page.tsx,packages/sdk/src/ai-service-desk-copilot-console.ts,,supabase/migrations/<timestamp>_ai_service_desk_copilot_console.sql,docs/features/ai-service-desk-copilot-console.md,docs/runbooks/ai-service-desk-copilot-console.md
42,Dynamic Client Forms Builder,dynamic-client-forms-builder,client-ops,High,"MSP admin, client users","api,web,sdk,db",apps/api/src/routes/dynamic-client-forms-builder.ts,apps/web/app/(portal)/portal/dynamic-client-forms-builder/page.tsx,packages/sdk/src/dynamic-client-forms-builder.ts,,supabase/migrations/<timestamp>_dynamic_client_forms_builder.sql,docs/features/dynamic-client-forms-builder.md,docs/runbooks/dynamic-client-forms-builder.md
43,Approval Workflow Engine,approval-workflow-engine,workflow,Very High,"MSP admin, client approvers","api,web,sdk,worker,db",apps/api/src/routes/approval-workflow-engine.ts,apps/web/app/(portal)/portal/approval-workflow-engine/page.tsx,packages/sdk/src/approval-workflow-engine.ts,apps/worker/src/tasks/approval-workflow-engine.ts,supabase/migrations/<timestamp>_approval_workflow_engine.sql,docs/features/approval-workflow-engine.md,docs/runbooks/approval-workflow-engine.md
44,Procurement Quote Comparison Tool,procurement-quote-comparison-tool,procurement,High,"MSP owner, client buyer","api,web,sdk,db",apps/api/src/routes/procurement-quote-comparison-tool.ts,apps/web/app/(portal)/portal/procurement-quote-comparison-tool/page.tsx,packages/sdk/src/procurement-quote-comparison-tool.ts,,supabase/migrations/<timestamp>_procurement_quote_comparison_tool.sql,docs/features/procurement-quote-comparison-tool.md,docs/runbooks/procurement-quote-comparison-tool.md
45,Hardware Staging Checklist Manager,hardware-staging-checklist-manager,field-services,High,"Technician, project lead","api,web,sdk,db",apps/api/src/routes/hardware-staging-checklist-manager.ts,apps/web/app/(portal)/portal/hardware-staging-checklist-manager/page.tsx,packages/sdk/src/hardware-staging-checklist-manager.ts,,supabase/migrations/<timestamp>_hardware_staging_checklist_manager.sql,docs/features/hardware-staging-checklist-manager.md,docs/runbooks/hardware-staging-checklist-manager.md
46,Device Configuration Profile Library,device-configuration-profile-library,endpoint-management,High,"MSP admin, endpoint technician","api,web,sdk,db",apps/api/src/routes/device-configuration-profile-library.ts,apps/web/app/(portal)/portal/device-configuration-profile-library/page.tsx,packages/sdk/src/device-configuration-profile-library.ts,,supabase/migrations/<timestamp>_device_configuration_profile_library.sql,docs/features/device-configuration-profile-library.md,docs/runbooks/device-configuration-profile-library.md
47,Client Network Diagram Builder,client-network-diagram-builder,networking,High,"Network tech, client stakeholder","api,web,sdk,db",apps/api/src/routes/client-network-diagram-builder.ts,apps/web/app/(portal)/portal/client-network-diagram-builder/page.tsx,packages/sdk/src/client-network-diagram-builder.ts,,supabase/migrations/<timestamp>_client_network_diagram_builder.sql,docs/features/client-network-diagram-builder.md,docs/runbooks/client-network-diagram-builder.md
48,Vendor Contact Escalation Directory,vendor-contact-escalation-directory,vendor-management,High,"MSP admin, technician","api,web,sdk,db",apps/api/src/routes/vendor-contact-escalation-directory.ts,apps/web/app/(portal)/portal/vendor-contact-escalation-directory/page.tsx,packages/sdk/src/vendor-contact-escalation-directory.ts,,supabase/migrations/<timestamp>_vendor_contact_escalation_directory.sql,docs/features/vendor-contact-escalation-directory.md,docs/runbooks/vendor-contact-escalation-directory.md
49,SLA SLO Tracker,sla-slo-tracker,service-management,High,"MSP owner, service manager","api,web,sdk,worker,db",apps/api/src/routes/sla-slo-tracker.ts,apps/web/app/(portal)/portal/sla-slo-tracker/page.tsx,packages/sdk/src/sla-slo-tracker.ts,apps/worker/src/tasks/sla-slo-tracker.ts,supabase/migrations/<timestamp>_sla_slo_tracker.sql,docs/features/sla-slo-tracker.md,docs/runbooks/sla-slo-tracker.md
50,Patch Compliance Dashboard,patch-compliance-dashboard,security-ops,Very High,"MSP admin, security lead","api,web,sdk,worker,db",apps/api/src/routes/patch-compliance-dashboard.ts,apps/web/app/(portal)/portal/patch-compliance-dashboard/page.tsx,packages/sdk/src/patch-compliance-dashboard.ts,apps/worker/src/tasks/patch-compliance-dashboard.ts,supabase/migrations/<timestamp>_patch_compliance_dashboard.sql,docs/features/patch-compliance-dashboard.md,docs/runbooks/patch-compliance-dashboard.md
51,Endpoint Security Coverage Map,endpoint-security-coverage-map,security-ops,Very High,"MSP security lead, client IT owner","api,web,sdk,worker,db",apps/api/src/routes/endpoint-security-coverage-map.ts,apps/web/app/(portal)/portal/endpoint-security-coverage-map/page.tsx,packages/sdk/src/endpoint-security-coverage-map.ts,apps/worker/src/tasks/endpoint-security-coverage-map.ts,supabase/migrations/<timestamp>_endpoint_security_coverage_map.sql,docs/features/endpoint-security-coverage-map.md,docs/runbooks/endpoint-security-coverage-map.md
52,Risk Acceptance Register,risk-acceptance-register,governance,High,"MSP owner, client executive","api,web,sdk,db",apps/api/src/routes/risk-acceptance-register.ts,apps/web/app/(portal)/portal/risk-acceptance-register/page.tsx,packages/sdk/src/risk-acceptance-register.ts,,supabase/migrations/<timestamp>_risk_acceptance_register.sql,docs/features/risk-acceptance-register.md,docs/runbooks/risk-acceptance-register.md
53,Data Retention Policy Manager,data-retention-policy-manager,governance,High,"MSP advisor, client leadership","api,web,sdk,db",apps/api/src/routes/data-retention-policy-manager.ts,apps/web/app/(portal)/portal/data-retention-policy-manager/page.tsx,packages/sdk/src/data-retention-policy-manager.ts,,supabase/migrations/<timestamp>_data_retention_policy_manager.sql,docs/features/data-retention-policy-manager.md,docs/runbooks/data-retention-policy-manager.md
54,SharePoint Teams Structure Planner,sharepoint-teams-structure-planner,m365,High,"M365 admin, client department lead","api,web,sdk,db",apps/api/src/routes/sharepoint-teams-structure-planner.ts,apps/web/app/(portal)/portal/sharepoint-teams-structure-planner/page.tsx,packages/sdk/src/sharepoint-teams-structure-planner.ts,,supabase/migrations/<timestamp>_sharepoint_teams_structure_planner.sql,docs/features/sharepoint-teams-structure-planner.md,docs/runbooks/sharepoint-teams-structure-planner.md
55,Website DNS Change Request Approvals,website-dns-change-request-approvals,web-ops,High,"MSP admin, client approver","api,web,sdk,db",apps/api/src/routes/website-dns-change-request-approvals.ts,apps/web/app/(portal)/portal/website-dns-change-request-approvals/page.tsx,packages/sdk/src/website-dns-change-request-approvals.ts,,supabase/migrations/<timestamp>_website_dns_change_request_approvals.sql,docs/features/website-dns-change-request-approvals.md,docs/runbooks/website-dns-change-request-approvals.md
56,Client Billing Service Catalog,client-billing-service-catalog,finance-ops,Very High,"MSP owner, client finance contact","api,web,sdk,db",apps/api/src/routes/client-billing-service-catalog.ts,apps/web/app/(portal)/portal/client-billing-service-catalog/page.tsx,packages/sdk/src/client-billing-service-catalog.ts,,supabase/migrations/<timestamp>_client_billing_service_catalog.sql,docs/features/client-billing-service-catalog.md,docs/runbooks/client-billing-service-catalog.md
57,Time Entry Worklog Summarizer,time-entry-worklog-summarizer,operations-ai,High,"MSP owner, technician","api,web,sdk,db",apps/api/src/routes/time-entry-worklog-summarizer.ts,apps/web/app/(portal)/portal/time-entry-worklog-summarizer/page.tsx,packages/sdk/src/time-entry-worklog-summarizer.ts,,supabase/migrations/<timestamp>_time_entry_worklog_summarizer.sql,docs/features/time-entry-worklog-summarizer.md,docs/runbooks/time-entry-worklog-summarizer.md
58,Emergency Access Break Glass Register,emergency-access-break-glass-register,identity-security,Very High,"MSP owner, security lead","api,web,sdk,db",apps/api/src/routes/emergency-access-break-glass-register.ts,apps/web/app/(portal)/portal/emergency-access-break-glass-register/page.tsx,packages/sdk/src/emergency-access-break-glass-register.ts,,supabase/migrations/<timestamp>_emergency_access_break_glass_register.sql,docs/features/emergency-access-break-glass-register.md,docs/runbooks/emergency-access-break-glass-register.md
