id,slug,name,category,categoryId,type,priceRange,pricingModel,purchaseMode,summary,marketingHeadline,tags,recommendedUpsells,riskLevel,deliveryEffort
pc_tune_up_cleanup,pc-tune-up-cleanup,PC Tune-Up / Cleanup,Quick Fixes,quick-fixes,service,$75-$150,one_time_or_project,consultation_or_checkout,"Clean up startup items, updates, junk apps, and basic performance issues.",PC Tune-Up / Cleanup from Maine Cyber Tech,quick-win,m365_secure_bundle;cyber_insurance_readiness_package;mct_secure_care;security_awareness_lunch_learn;password_manager_rollout,normal,standard
computer_replacement_readiness_review,computer-replacement-readiness-review,Computer Replacement Readiness Review,Quick Fixes,quick-fixes,service,$99-$199,one_time_or_project,consultation_or_checkout,Review aging devices and identify practical replacement priorities.,Computer Replacement Readiness Review from Maine Cyber Tech,quick-win,m365_secure_bundle;cyber_insurance_readiness_package;mct_secure_care;security_awareness_lunch_learn;password_manager_rollout,normal,standard
cyber_risk_snapshot,cyber-risk-snapshot,Cyber Risk Snapshot,Cybersecurity,cybersecurity,service,$149-$399,one_time_or_project,consultation_or_checkout,Lightweight cyber risk review for small organizations.,Cyber Risk Snapshot from Maine Cyber Tech,security,m365_secure_bundle;cyber_insurance_readiness_package;mct_secure_care;security_awareness_lunch_learn;password_manager_rollout,normal,standard
full_cybersecurity_assessment,full-cybersecurity-assessment,Full Cybersecurity Assessment,Cybersecurity,cybersecurity,service,"$750-$2,500",one_time_or_project,consultation_or_checkout,"Deeper review of identity, endpoints, email, backup, network, policies, and risk.",Full Cybersecurity Assessment from Maine Cyber Tech,security,m365_secure_bundle;cyber_insurance_readiness_package;mct_secure_care;security_awareness_lunch_learn;password_manager_rollout,normal,standard
m365_security_assessment,m365-security-assessment,M365 Security Assessment,Cybersecurity,cybersecurity,service,"$399-$1,500",one_time_or_project,consultation_or_checkout,Microsoft 365-focused security configuration and risk review.,M365 Security Assessment from Maine Cyber Tech,security,m365_secure_bundle;cyber_insurance_readiness_package;mct_secure_care;security_awareness_lunch_learn;password_manager_rollout,normal,standard
small_business_ransomware_readiness_review,small-business-ransomware-readiness-review,Small Business Ransomware Readiness Review,Cybersecurity,cybersecurity,service,"$399-$1,500",one_time_or_project,consultation_or_checkout,"Review ransomware-relevant controls such as backups, MFA, endpoint security, admin rights, and recovery.",Small Business Ransomware Readiness Review from Maine Cyber Tech,security,m365_secure_bundle;cyber_insurance_readiness_package;mct_secure_care;security_awareness_lunch_learn;password_manager_rollout,normal,standard
nonprofit_cyber_readiness_review,nonprofit-cyber-readiness-review,Nonprofit Cyber Readiness Review,Cybersecurity,cybersecurity,service,"$250-$1,000",one_time_or_project,consultation_or_checkout,"Budget-aware cybersecurity review for churches, nonprofits, and community organizations.",Nonprofit Cyber Readiness Review from Maine Cyber Tech,security,m365_secure_bundle;cyber_insurance_readiness_package;mct_secure_care;security_awareness_lunch_learn;password_manager_rollout,normal,standard
vendor_access_review,vendor-access-review,Vendor Access Review,Cybersecurity,cybersecurity,service,$250-$750,one_time_or_project,consultation_or_checkout,"Review vendor accounts, shared access, remote access, and access removal process.",Vendor Access Review from Maine Cyber Tech,security,m365_secure_bundle;cyber_insurance_readiness_package;mct_secure_care;security_awareness_lunch_learn;password_manager_rollout,normal,standard
admin_privilege_review,admin-privilege-review,Admin Privilege Review,Cybersecurity,cybersecurity,service,$250-$750,one_time_or_project,consultation_or_checkout,"Review high-privilege accounts, role assignments, and excessive access.",Admin Privilege Review from Maine Cyber Tech,security,m365_secure_bundle;cyber_insurance_readiness_package;mct_secure_care;security_awareness_lunch_learn;password_manager_rollout,elevated,standard
mfa_enforcement_project,mfa-enforcement-project,MFA Enforcement Project,Cybersecurity,cybersecurity,service,"$399-$1,500",one_time_or_project,consultation_or_checkout,Plan and implement broader MFA rollout for selected systems.,MFA Enforcement Project from Maine Cyber Tech,security,m365_secure_bundle;cyber_insurance_readiness_package;mct_secure_care;security_awareness_lunch_learn;password_manager_rollout,elevated,standard
password_manager_rollout,password-manager-rollout,Password Manager Rollout,Cybersecurity,cybersecurity,service,"$399-$1,500",one_time_or_project,consultation_or_checkout,Deploy a business password manager and train users on safer credential practices.,Password Manager Rollout from Maine Cyber Tech,security,m365_secure_bundle;cyber_insurance_readiness_package;mct_secure_care;security_awareness_lunch_learn,elevated,standard
email_security_hardening,email-security-hardening,Email Security Hardening,Cybersecurity,cybersecurity,service,"$399-$1,500",one_time_or_project,consultation_or_checkout,"Configure practical anti-spoofing, anti-phishing, and email safety improvements.",Email Security Hardening from Maine Cyber Tech,security,m365_secure_bundle;cyber_insurance_readiness_package;mct_secure_care;security_awareness_lunch_learn;password_manager_rollout,normal,standard
endpoint_protection_rollout,endpoint-protection-rollout,Endpoint Protection Rollout,Cybersecurity,cybersecurity,service,"$499-$2,500",one_time_or_project,consultation_or_checkout,Deploy or improve endpoint protection tooling and monitoring process.,Endpoint Protection Rollout from Maine Cyber Tech,security,m365_secure_bundle;cyber_insurance_readiness_package;mct_secure_care;security_awareness_lunch_learn;password_manager_rollout,elevated,standard
local_admin_removal_project,local-admin-removal-project,Local Admin Removal Project,Cybersecurity,cybersecurity,service,"$499-$2,500",one_time_or_project,consultation_or_checkout,Reduce unnecessary local admin privileges across selected workstations.,Local Admin Removal Project from Maine Cyber Tech,security,m365_secure_bundle;cyber_insurance_readiness_package;mct_secure_care;security_awareness_lunch_learn;password_manager_rollout,elevated,standard
bitlocker_encryption_rollout,bitlocker-encryption-rollout,BitLocker Encryption Rollout,Cybersecurity,cybersecurity,service,"$399-$1,500",one_time_or_project,consultation_or_checkout,Enable or verify disk encryption on supported business devices.,BitLocker Encryption Rollout from Maine Cyber Tech,security,m365_secure_bundle;cyber_insurance_readiness_package;mct_secure_care;security_awareness_lunch_learn;password_manager_rollout,elevated,standard
dns_filtering_setup,dns-filtering-setup,DNS Filtering Setup,Cybersecurity,cybersecurity,service,"$299-$1,200",one_time_or_project,consultation_or_checkout,Configure protective DNS filtering where appropriate.,DNS Filtering Setup from Maine Cyber Tech,security,m365_secure_bundle;cyber_insurance_readiness_package;mct_secure_care;security_awareness_lunch_learn;password_manager_rollout,normal,standard
security_awareness_training_setup,security-awareness-training-setup,Security Awareness Training Setup,Cybersecurity,cybersecurity,service,"$299-$1,500",one_time_or_project,consultation_or_checkout,"Set up security awareness training workflow, content, or platform guidance.",Security Awareness Training Setup from Maine Cyber Tech,security,m365_secure_bundle;cyber_insurance_readiness_package;mct_secure_care;security_awareness_lunch_learn;password_manager_rollout,normal,standard
incident_response_plan_starter,incident-response-plan-starter,Incident Response Plan Starter,Cybersecurity,cybersecurity,service,"$399-$1,500",one_time_or_project,consultation_or_checkout,Create a practical first-response plan for common security incidents.,Incident Response Plan Starter from Maine Cyber Tech,security,m365_secure_bundle;cyber_insurance_readiness_package;mct_secure_care;security_awareness_lunch_learn;password_manager_rollout,elevated,standard
cyber_insurance_readiness_package,cyber-insurance-readiness-package,Cyber Insurance Readiness Package,Cybersecurity,cybersecurity,service,"$750-$2,500",one_time_or_project,consultation_or_checkout,"Review common cyber insurance controls, evidence gaps, and remediation priorities.",Cyber Insurance Readiness Package from Maine Cyber Tech,security,m365_secure_bundle;mct_secure_care;security_awareness_lunch_learn;password_manager_rollout,normal,standard
security_awareness_lunch_learn,security-awareness-lunch-learn,Security Awareness Lunch & Learn,Cybersecurity,cybersecurity,service,$199-$499,one_time_or_project,consultation_or_checkout,"Short training session for phishing, passwords, MFA, and safe employee habits.",Security Awareness Lunch & Learn from Maine Cyber Tech,security,m365_secure_bundle;cyber_insurance_readiness_package;mct_secure_care;password_manager_rollout,normal,standard
owner_admin_security_training,owner-admin-security-training,Owner/Admin Security Training,Cybersecurity,cybersecurity,service,$199-$499,one_time_or_project,consultation_or_checkout,"Focused security training for owners, admins, and managers.",Owner/Admin Security Training from Maine Cyber Tech,security,m365_secure_bundle;cyber_insurance_readiness_package;mct_secure_care;security_awareness_lunch_learn;password_manager_rollout,elevated,standard
staff_security_starter,staff-security-starter,Staff Security Starter,Cybersecurity,cybersecurity,service,"$399-$1,200",one_time_or_project,consultation_or_checkout,"Packaged security training, cheat sheets, and staff starter materials.",Staff Security Starter from Maine Cyber Tech,security,m365_secure_bundle;cyber_insurance_readiness_package;mct_secure_care;security_awareness_lunch_learn;password_manager_rollout,normal,standard
microsoft_365_tenant_setup,microsoft-365-tenant-setup,Microsoft 365 Tenant Setup,Microsoft 365,microsoft-365,service,"$399-$1,500",one_time_or_project,consultation_or_checkout,Provision or cleanly configure a new Microsoft 365 tenant foundation.,Microsoft 365 Tenant Setup from Maine Cyber Tech,m365,microsoft_365_security_baseline;microsoft_365_monthly_admin;mct_business_care;cyber_insurance_readiness_bundle,elevated,standard
microsoft_365_tenant_cleanup,microsoft-365-tenant-cleanup,Microsoft 365 Tenant Cleanup,Microsoft 365,microsoft-365,service,"$399-$1,500",one_time_or_project,consultation_or_checkout,"Clean up stale users, licenses, groups, mailbox delegation, and insecure collaboration settings.",Microsoft 365 Tenant Cleanup from Maine Cyber Tech,m365,microsoft_365_security_baseline;microsoft_365_monthly_admin;mct_business_care;cyber_insurance_readiness_bundle,elevated,standard
microsoft_365_monthly_admin,microsoft-365-monthly-admin,Microsoft 365 Monthly Admin,Microsoft 365,microsoft-365,service,$199-$999/month,monthly,consultation_or_checkout,"Ongoing Microsoft 365 user, license, mailbox, Teams, and admin support.",Microsoft 365 Monthly Admin from Maine Cyber Tech,m365,microsoft_365_security_baseline;mct_business_care;cyber_insurance_readiness_bundle,normal,standard
microsoft_365_security_baseline,microsoft-365-security-baseline,Microsoft 365 Security Baseline,Microsoft 365,microsoft-365,service,"$399-$1,500",one_time_or_project,consultation_or_checkout,"Establish practical baseline controls including MFA, admin role review, and email protection.",Microsoft 365 Security Baseline from Maine Cyber Tech,m365,microsoft_365_monthly_admin;mct_business_care;cyber_insurance_readiness_bundle,elevated,standard
microsoft_365_backup_setup,microsoft-365-backup-setup,Microsoft 365 Backup Setup,Microsoft 365,microsoft-365,service,"$399-$1,500",one_time_or_project,consultation_or_checkout,"Configure or guide Microsoft 365 backup strategy for mail, OneDrive, and SharePoint.",Microsoft 365 Backup Setup from Maine Cyber Tech,m365,microsoft_365_security_baseline;microsoft_365_monthly_admin;mct_business_care;cyber_insurance_readiness_bundle,normal,standard
microsoft_365_migration_lite,microsoft-365-migration-lite,Microsoft 365 Migration Lite,Microsoft 365,microsoft-365,service,"$750-$2,500",one_time_or_project,consultation_or_checkout,"Small mailbox/domain migration with planning, cutover, and validation.",Microsoft 365 Migration Lite from Maine Cyber Tech,m365,microsoft_365_security_baseline;microsoft_365_monthly_admin;mct_business_care;cyber_insurance_readiness_bundle,elevated,standard
microsoft_365_migration_full,microsoft-365-migration-full,Microsoft 365 Migration Full,Microsoft 365,microsoft-365,service,"$2,500+",one_time_or_project,consultation_or_checkout,"Full migration project with discovery, communication, cutover, and post-migration validation.",Microsoft 365 Migration Full from Maine Cyber Tech,m365,microsoft_365_security_baseline;microsoft_365_monthly_admin;mct_business_care;cyber_insurance_readiness_bundle,elevated,standard
microsoft_365_license_optimization,microsoft-365-license-optimization,Microsoft 365 License Optimization,Microsoft 365,microsoft-365,service,$99-$399,one_time_or_project,consultation_or_checkout,Review license assignments and find cost or fit improvements.,Microsoft 365 License Optimization from Maine Cyber Tech,m365,microsoft_365_security_baseline;microsoft_365_monthly_admin;mct_business_care;cyber_insurance_readiness_bundle,normal,standard
shared_mailbox_cleanup,shared-mailbox-cleanup,Shared Mailbox Cleanup,Microsoft 365,microsoft-365,service,$99-$299,one_time_or_project,consultation_or_checkout,"Review shared mailbox permissions, delegation, stale access, and mailbox usage.",Shared Mailbox Cleanup from Maine Cyber Tech,m365,microsoft_365_security_baseline;microsoft_365_monthly_admin;mct_business_care;cyber_insurance_readiness_bundle,normal,standard
onedrive_and_sharepoint_permissions_review,onedrive-and-sharepoint-permissions-review,OneDrive and SharePoint Permissions Review,Microsoft 365,microsoft-365,service,$199-$499,one_time_or_project,consultation_or_checkout,"Review external sharing, public links, guest access, and excessive permissions.",OneDrive and SharePoint Permissions Review from Maine Cyber Tech,m365,microsoft_365_security_baseline;microsoft_365_monthly_admin;mct_business_care;cyber_insurance_readiness_bundle,elevated,standard
new_employee_m365_setup,new-employee-m365-setup,New Employee M365 Setup,Microsoft 365,microsoft-365,service,$75-$150/user,one_time_or_project,consultation_or_checkout,"Create or guide clean user onboarding with mailbox, license, MFA, and initial access.",New Employee M365 Setup from Maine Cyber Tech,m365,microsoft_365_security_baseline;microsoft_365_monthly_admin;mct_business_care;cyber_insurance_readiness_bundle,normal,standard
departing_employee_lockdown,departing-employee-lockdown,Departing Employee Lockdown,Microsoft 365,microsoft-365,service,$99-$199/user,one_time_or_project,consultation_or_checkout,Disable or secure a departing worker account and preserve needed business data.,Departing Employee Lockdown from Maine Cyber Tech,m365,microsoft_365_security_baseline;microsoft_365_monthly_admin;mct_business_care;cyber_insurance_readiness_bundle,elevated,standard
teams_cleanup_mini_project,teams-cleanup-mini-project,Teams Cleanup Mini Project,Microsoft 365,microsoft-365,service,$199-$599,one_time_or_project,consultation_or_checkout,"Review inactive Teams/channels, guest access, naming, and collaboration clutter.",Teams Cleanup Mini Project from Maine Cyber Tech,m365,microsoft_365_security_baseline;microsoft_365_monthly_admin;mct_business_care;cyber_insurance_readiness_bundle,normal,standard
microsoft_secure_score_review,microsoft-secure-score-review,Microsoft Secure Score Review,Microsoft 365,microsoft-365,service,$149-$399,one_time_or_project,consultation_or_checkout,Review major Microsoft security recommendations and prioritize safe improvements.,Microsoft Secure Score Review from Maine Cyber Tech,m365,microsoft_365_security_baseline;microsoft_365_monthly_admin;mct_business_care;cyber_insurance_readiness_bundle,normal,standard
m365_launch_bundle,m365-launch-bundle,M365 Launch Bundle,Microsoft 365,microsoft-365,service,"$499-$1,500",one_time_or_project,consultation_or_checkout,"New-business Microsoft 365 setup bundle for domains, users, email, MFA, and onboarding.",M365 Launch Bundle from Maine Cyber Tech,m365,microsoft_365_security_baseline;microsoft_365_monthly_admin;mct_business_care;cyber_insurance_readiness_bundle,normal,standard
m365_secure_bundle,m365-secure-bundle,M365 Secure Bundle,Microsoft 365,microsoft-365,service,"$599-$1,800",one_time_or_project,consultation_or_checkout,Security-focused Microsoft 365 hardening bundle.,M365 Secure Bundle from Maine Cyber Tech,m365,microsoft_365_security_baseline;microsoft_365_monthly_admin;mct_business_care;cyber_insurance_readiness_bundle,normal,standard
m365_cleanup_bundle,m365-cleanup-bundle,M365 Cleanup Bundle,Microsoft 365,microsoft-365,service,"$599-$1,800",one_time_or_project,consultation_or_checkout,"Tenant cleanup package for users, licenses, groups, mailboxes, and collaboration settings.",M365 Cleanup Bundle from Maine Cyber Tech,m365,microsoft_365_security_baseline;microsoft_365_monthly_admin;mct_business_care;cyber_insurance_readiness_bundle,normal,standard
m365_managed_bundle,m365-managed-bundle,M365 Managed Bundle,Microsoft 365,microsoft-365,service,"$499-$2,000/month",monthly,consultation_or_checkout,Recurring Microsoft 365 administration and improvement plan.,M365 Managed Bundle from Maine Cyber Tech,m365,microsoft_365_security_baseline;microsoft_365_monthly_admin;mct_business_care;cyber_insurance_readiness_bundle,normal,standard
new_computer_setup,new-computer-setup,New Computer Setup,Computer Setup & Support,computer-setup-support,service,$125-$250,one_time_or_project,consultation_or_checkout,Prepare a new Windows or Mac business computer for productive use.,New Computer Setup from Maine Cyber Tech,endpoint,managed_workstation_protect;mct_business_care;workstation_refresh_pack;endpoint_protection_rollout,normal,standard
business_laptop_security_setup,business-laptop-security-setup,Business Laptop Security Setup,Computer Setup & Support,computer-setup-support,service,$149-$299,one_time_or_project,consultation_or_checkout,"Secure a laptop with updates, encryption review, account hygiene, and practical settings.",Business Laptop Security Setup from Maine Cyber Tech,endpoint,managed_workstation_protect;mct_business_care;workstation_refresh_pack;endpoint_protection_rollout,normal,standard
patch_status_snapshot,patch-status-snapshot,Patch Status Snapshot,Computer Setup & Support,computer-setup-support,service,$99-$249,one_time_or_project,consultation_or_checkout,Check patch/update status across a small set of devices.,Patch Status Snapshot from Maine Cyber Tech,endpoint,managed_workstation_protect;mct_business_care;workstation_refresh_pack;endpoint_protection_rollout,normal,standard
managed_workstation_essentials,managed-workstation-essentials,Managed Workstation Essentials,Computer Setup & Support,computer-setup-support,service,$25-$45/device/month,monthly,consultation_or_checkout,Entry recurring workstation care with inventory and basic health review.,Managed Workstation Essentials from Maine Cyber Tech,endpoint,managed_workstation_protect;mct_business_care;workstation_refresh_pack;endpoint_protection_rollout,normal,standard
managed_workstation_protect,managed-workstation-protect,Managed Workstation Protect,Computer Setup & Support,computer-setup-support,service,$45-$75/device/month,monthly,consultation_or_checkout,"Managed patching, endpoint protection status, and monthly health summary.",Managed Workstation Protect from Maine Cyber Tech,endpoint,mct_business_care;workstation_refresh_pack;endpoint_protection_rollout,normal,standard
managed_workstation_complete,managed-workstation-complete,Managed Workstation Complete,Computer Setup & Support,computer-setup-support,service,$75-$125/device/month,monthly,consultation_or_checkout,"Priority workstation support, lifecycle tracking, device standards, and quarterly review.",Managed Workstation Complete from Maine Cyber Tech,endpoint,managed_workstation_protect;mct_business_care;workstation_refresh_pack;endpoint_protection_rollout,normal,standard
laptop_procurement,laptop-procurement,Laptop Procurement,Computer Setup & Support,computer-setup-support,service,$75-$250 + hardware,one_time_or_project,consultation_or_checkout,Recommend and coordinate purchase of a business laptop.,Laptop Procurement from Maine Cyber Tech,endpoint,managed_workstation_protect;mct_business_care;workstation_refresh_pack;endpoint_protection_rollout,normal,standard
desktop_procurement,desktop-procurement,Desktop Procurement,Computer Setup & Support,computer-setup-support,service,$75-$250 + hardware,one_time_or_project,consultation_or_checkout,Recommend and coordinate purchase of a business desktop.,Desktop Procurement from Maine Cyber Tech,endpoint,managed_workstation_protect;mct_business_care;workstation_refresh_pack;endpoint_protection_rollout,normal,standard
printer_procurement_help,printer-procurement-help,Printer Procurement Help,Computer Setup & Support,computer-setup-support,service,$75-$250 + hardware,one_time_or_project,consultation_or_checkout,Recommend printer/scanner options based on office needs.,Printer Procurement Help from Maine Cyber Tech,endpoint,managed_workstation_protect;mct_business_care;workstation_refresh_pack;endpoint_protection_rollout,normal,standard
warranty_tracking,warranty-tracking,Warranty Tracking,Computer Setup & Support,computer-setup-support,service,$99-$399,one_time_or_project,consultation_or_checkout,Document hardware warranties and replacement dates.,Warranty Tracking from Maine Cyber Tech,endpoint,managed_workstation_protect;mct_business_care;workstation_refresh_pack;endpoint_protection_rollout,normal,standard
lifecycle_replacement_plan,lifecycle-replacement-plan,Lifecycle Replacement Plan,Computer Setup & Support,computer-setup-support,service,$199-$799,one_time_or_project,consultation_or_checkout,Create a staged replacement plan for aging computers and devices.,Lifecycle Replacement Plan from Maine Cyber Tech,endpoint,managed_workstation_protect;mct_business_care;workstation_refresh_pack;endpoint_protection_rollout,normal,standard
workstation_refresh_pack,workstation-refresh-pack,Workstation Refresh Pack,Computer Setup & Support,computer-setup-support,service,"$399-$1,500 + hardware",one_time_or_project,consultation_or_checkout,"Procurement, setup, data transfer, security baseline, and old device wipe coordination.",Workstation Refresh Pack from Maine Cyber Tech,endpoint,managed_workstation_protect;mct_business_care;endpoint_protection_rollout,normal,standard
data_transfer_service,data-transfer-service,Data Transfer Service,Computer Setup & Support,computer-setup-support,service,$99-$299,one_time_or_project,consultation_or_checkout,Move selected user data from old computer to new computer.,Data Transfer Service from Maine Cyber Tech,endpoint,managed_workstation_protect;mct_business_care;workstation_refresh_pack;endpoint_protection_rollout,normal,standard
old_device_wipe_coordination,old-device-wipe-coordination,Old Device Wipe Coordination,Computer Setup & Support,computer-setup-support,service,$99-$299,one_time_or_project,consultation_or_checkout,"Coordinate secure wipe, reuse, or recycle path for old devices.",Old Device Wipe Coordination from Maine Cyber Tech,endpoint,managed_workstation_protect;mct_business_care;workstation_refresh_pack;endpoint_protection_rollout,normal,standard
conference_room_audio_setup,conference-room-audio-setup,Conference Room Audio Setup,Computer Setup & Support,computer-setup-support,service,"$299-$1,500",one_time_or_project,consultation_or_checkout,"Set up basic speaker, microphone, camera, and meeting workflow.",Conference Room Audio Setup from Maine Cyber Tech,endpoint,managed_workstation_protect;mct_business_care;workstation_refresh_pack;endpoint_protection_rollout,normal,standard
microsoft_365_basics_training,microsoft-365-basics-training,Microsoft 365 Basics Training,Computer Setup & Support,computer-setup-support,service,$199-$599,one_time_or_project,consultation_or_checkout,"Basic Outlook, Teams, OneDrive, and SharePoint training.",Microsoft 365 Basics Training from Maine Cyber Tech,endpoint,managed_workstation_protect;mct_business_care;workstation_refresh_pack;endpoint_protection_rollout,normal,standard
teams_and_sharepoint_training,teams-and-sharepoint-training,Teams and SharePoint Training,Computer Setup & Support,computer-setup-support,service,$299-$799,one_time_or_project,consultation_or_checkout,"Collaboration training focused on files, channels, sharing, and permissions basics.",Teams and SharePoint Training from Maine Cyber Tech,endpoint,managed_workstation_protect;mct_business_care;workstation_refresh_pack;endpoint_protection_rollout,normal,standard
wi_fi_coverage_check,wi-fi-coverage-check,Wi-Fi Coverage Check,Wi-Fi & Networking,wifi-networking,service,$99-$249,one_time_or_project,consultation_or_checkout,"Onsite or guided review of Wi-Fi coverage, dead zones, and upgrade path.",Wi-Fi Coverage Check from Maine Cyber Tech,network;wifi,business_network_foundation;unifi_monthly_management;camera_and_wi_fi_bundle;mct_complete_care,normal,standard
network_health_check,network-health-check,Network Health Check,Wi-Fi & Networking,wifi-networking,service,$199-$599,one_time_or_project,consultation_or_checkout,"Review router, switches, Wi-Fi, cabling, IP scheme, and basic risks.",Network Health Check from Maine Cyber Tech,network;wifi,business_network_foundation;unifi_monthly_management;camera_and_wi_fi_bundle;mct_complete_care,normal,standard
small_office_network_audit,small-office-network-audit,Small Office Network Audit,Wi-Fi & Networking,wifi-networking,service,$299-$999,one_time_or_project,consultation_or_checkout,"Document small-office network layout, risks, and improvement recommendations.",Small Office Network Audit from Maine Cyber Tech,network;wifi,business_network_foundation;unifi_monthly_management;camera_and_wi_fi_bundle;mct_complete_care,normal,standard
guest_wi_fi_review,guest-wi-fi-review,Guest Wi-Fi Review,Wi-Fi & Networking,wifi-networking,service,$99-$299,one_time_or_project,consultation_or_checkout,"Review guest network separation, password practices, and business/guest isolation.",Guest Wi-Fi Review from Maine Cyber Tech,network;wifi,business_network_foundation;unifi_monthly_management;camera_and_wi_fi_bundle;mct_complete_care,normal,standard
camera_network_readiness_check,camera-network-readiness-check,Camera Network Readiness Check,Wi-Fi & Networking,wifi-networking,service,$199-$599,one_time_or_project,consultation_or_checkout,Determine whether the current network can support cameras and recording needs.,Camera Network Readiness Check from Maine Cyber Tech,network;wifi,business_network_foundation;unifi_monthly_management;camera_and_wi_fi_bundle;mct_complete_care,normal,standard
outdoor_wi_fi_planning_visit,outdoor-wi-fi-planning-visit,Outdoor Wi-Fi Planning Visit,Wi-Fi & Networking,wifi-networking,service,$299-$999,one_time_or_project,consultation_or_checkout,"Plan outdoor AP placement, power, wiring, weatherproofing, and coverage validation.",Outdoor Wi-Fi Planning Visit from Maine Cyber Tech,network;wifi,business_network_foundation;unifi_monthly_management;camera_and_wi_fi_bundle;mct_complete_care,normal,standard
firewall_configuration_review,firewall-configuration-review,Firewall Configuration Review,Wi-Fi & Networking,wifi-networking,service,$249-$999,one_time_or_project,consultation_or_checkout,"Review firewall rules, remote access, segmentation, and management access.",Firewall Configuration Review from Maine Cyber Tech,network;wifi,business_network_foundation;unifi_monthly_management;camera_and_wi_fi_bundle;mct_complete_care,elevated,standard
isp_failover_readiness_review,isp-failover-readiness-review,ISP Failover Readiness Review,Wi-Fi & Networking,wifi-networking,service,$199-$599,one_time_or_project,consultation_or_checkout,"Review options for backup internet, failover, and continuity.",ISP Failover Readiness Review from Maine Cyber Tech,network;wifi,business_network_foundation;unifi_monthly_management;camera_and_wi_fi_bundle;mct_complete_care,normal,standard
