productId,productName,category,stepNumber,step
business_email_safety_check,Business Email Safety Check,Quick Fixes,4,"Document findings, changes, and remaining gaps."
business_email_safety_check,Business Email Safety Check,Quick Fixes,5,Provide customer summary and practical next steps.
business_email_safety_check,Business Email Safety Check,Quick Fixes,6,Complete internal QA checklist.
business_email_safety_check,Business Email Safety Check,Quick Fixes,7,"Send closeout summary with recommended next product, bundle, or monthly plan."
remote_work_safety_check,Remote Work Safety Check,Quick Fixes,1,Review purchase and clarify exact scope.
remote_work_safety_check,Remote Work Safety Check,Quick Fixes,2,Create service ticket and confirm safe access method.
remote_work_safety_check,Remote Work Safety Check,Quick Fixes,3,"Perform focused checkup, setup, or cleanup."
remote_work_safety_check,Remote Work Safety Check,Quick Fixes,4,"Document findings, changes, and remaining gaps."
remote_work_safety_check,Remote Work Safety Check,Quick Fixes,5,Provide customer summary and practical next steps.
remote_work_safety_check,Remote Work Safety Check,Quick Fixes,6,Complete internal QA checklist.
remote_work_safety_check,Remote Work Safety Check,Quick Fixes,7,"Send closeout summary with recommended next product, bundle, or monthly plan."
basic_incident_readiness_checklist,Basic Incident Readiness Checklist,Quick Fixes,1,Review purchase and clarify exact scope.
basic_incident_readiness_checklist,Basic Incident Readiness Checklist,Quick Fixes,2,Create service ticket and confirm safe access method.
basic_incident_readiness_checklist,Basic Incident Readiness Checklist,Quick Fixes,3,"Perform focused checkup, setup, or cleanup."
basic_incident_readiness_checklist,Basic Incident Readiness Checklist,Quick Fixes,4,"Document findings, changes, and remaining gaps."
basic_incident_readiness_checklist,Basic Incident Readiness Checklist,Quick Fixes,5,Provide customer summary and practical next steps.
basic_incident_readiness_checklist,Basic Incident Readiness Checklist,Quick Fixes,6,Complete internal QA checklist.
basic_incident_readiness_checklist,Basic Incident Readiness Checklist,Quick Fixes,7,"Send closeout summary with recommended next product, bundle, or monthly plan."
website_uptime_monitor_setup,Website Uptime Monitor Setup,Quick Fixes,1,Review purchase and clarify exact scope.
website_uptime_monitor_setup,Website Uptime Monitor Setup,Quick Fixes,2,Create service ticket and confirm safe access method.
website_uptime_monitor_setup,Website Uptime Monitor Setup,Quick Fixes,3,"Perform focused checkup, setup, or cleanup."
website_uptime_monitor_setup,Website Uptime Monitor Setup,Quick Fixes,4,"Document findings, changes, and remaining gaps."
website_uptime_monitor_setup,Website Uptime Monitor Setup,Quick Fixes,5,Provide customer summary and practical next steps.
website_uptime_monitor_setup,Website Uptime Monitor Setup,Quick Fixes,6,Complete internal QA checklist.
website_uptime_monitor_setup,Website Uptime Monitor Setup,Quick Fixes,7,"Send closeout summary with recommended next product, bundle, or monthly plan."
printer_scanner_setup,Printer / Scanner Setup,Quick Fixes,1,Review purchase and clarify exact scope.
printer_scanner_setup,Printer / Scanner Setup,Quick Fixes,2,Create service ticket and confirm safe access method.
printer_scanner_setup,Printer / Scanner Setup,Quick Fixes,3,"Perform focused checkup, setup, or cleanup."
printer_scanner_setup,Printer / Scanner Setup,Quick Fixes,4,"Document findings, changes, and remaining gaps."
printer_scanner_setup,Printer / Scanner Setup,Quick Fixes,5,Provide customer summary and practical next steps.
printer_scanner_setup,Printer / Scanner Setup,Quick Fixes,6,Complete internal QA checklist.
printer_scanner_setup,Printer / Scanner Setup,Quick Fixes,7,"Send closeout summary with recommended next product, bundle, or monthly plan."
pc_tune_up_cleanup,PC Tune-Up / Cleanup,Quick Fixes,1,Review purchase and clarify exact scope.
pc_tune_up_cleanup,PC Tune-Up / Cleanup,Quick Fixes,2,Create service ticket and confirm safe access method.
pc_tune_up_cleanup,PC Tune-Up / Cleanup,Quick Fixes,3,"Perform focused checkup, setup, or cleanup."
pc_tune_up_cleanup,PC Tune-Up / Cleanup,Quick Fixes,4,"Document findings, changes, and remaining gaps."
pc_tune_up_cleanup,PC Tune-Up / Cleanup,Quick Fixes,5,Provide customer summary and practical next steps.
pc_tune_up_cleanup,PC Tune-Up / Cleanup,Quick Fixes,6,Complete internal QA checklist.
pc_tune_up_cleanup,PC Tune-Up / Cleanup,Quick Fixes,7,"Send closeout summary with recommended next product, bundle, or monthly plan."
computer_replacement_readiness_review,Computer Replacement Readiness Review,Quick Fixes,1,Review purchase and clarify exact scope.
computer_replacement_readiness_review,Computer Replacement Readiness Review,Quick Fixes,2,Create service ticket and confirm safe access method.
computer_replacement_readiness_review,Computer Replacement Readiness Review,Quick Fixes,3,"Perform focused checkup, setup, or cleanup."
computer_replacement_readiness_review,Computer Replacement Readiness Review,Quick Fixes,4,"Document findings, changes, and remaining gaps."
computer_replacement_readiness_review,Computer Replacement Readiness Review,Quick Fixes,5,Provide customer summary and practical next steps.
computer_replacement_readiness_review,Computer Replacement Readiness Review,Quick Fixes,6,Complete internal QA checklist.
computer_replacement_readiness_review,Computer Replacement Readiness Review,Quick Fixes,7,"Send closeout summary with recommended next product, bundle, or monthly plan."
cyber_risk_snapshot,Cyber Risk Snapshot,Cybersecurity,1,"Review security objective, systems, and authorization."
cyber_risk_snapshot,Cyber Risk Snapshot,Cybersecurity,2,Collect relevant evidence without storing secrets.
cyber_risk_snapshot,Cyber Risk Snapshot,Cybersecurity,3,"Assess identity, endpoint, email, backup, network, policy, or training scope."
cyber_risk_snapshot,Cyber Risk Snapshot,Cybersecurity,4,Prioritize risks by business impact.
cyber_risk_snapshot,Cyber Risk Snapshot,Cybersecurity,5,Deliver findings and recommended remediation path.
cyber_risk_snapshot,Cyber Risk Snapshot,Cybersecurity,6,Record approvals and close temporary access.
cyber_risk_snapshot,Cyber Risk Snapshot,Cybersecurity,7,Complete internal QA checklist.
cyber_risk_snapshot,Cyber Risk Snapshot,Cybersecurity,8,"Send closeout summary with recommended next product, bundle, or monthly plan."
full_cybersecurity_assessment,Full Cybersecurity Assessment,Cybersecurity,1,"Review security objective, systems, and authorization."
full_cybersecurity_assessment,Full Cybersecurity Assessment,Cybersecurity,2,Collect relevant evidence without storing secrets.
full_cybersecurity_assessment,Full Cybersecurity Assessment,Cybersecurity,3,"Assess identity, endpoint, email, backup, network, policy, or training scope."
full_cybersecurity_assessment,Full Cybersecurity Assessment,Cybersecurity,4,Prioritize risks by business impact.
full_cybersecurity_assessment,Full Cybersecurity Assessment,Cybersecurity,5,Deliver findings and recommended remediation path.
full_cybersecurity_assessment,Full Cybersecurity Assessment,Cybersecurity,6,Record approvals and close temporary access.
full_cybersecurity_assessment,Full Cybersecurity Assessment,Cybersecurity,7,Complete internal QA checklist.
full_cybersecurity_assessment,Full Cybersecurity Assessment,Cybersecurity,8,"Send closeout summary with recommended next product, bundle, or monthly plan."
m365_security_assessment,M365 Security Assessment,Cybersecurity,1,"Review security objective, systems, and authorization."
m365_security_assessment,M365 Security Assessment,Cybersecurity,2,Collect relevant evidence without storing secrets.
m365_security_assessment,M365 Security Assessment,Cybersecurity,3,"Assess identity, endpoint, email, backup, network, policy, or training scope."
m365_security_assessment,M365 Security Assessment,Cybersecurity,4,Prioritize risks by business impact.
m365_security_assessment,M365 Security Assessment,Cybersecurity,5,Deliver findings and recommended remediation path.
m365_security_assessment,M365 Security Assessment,Cybersecurity,6,Record approvals and close temporary access.
m365_security_assessment,M365 Security Assessment,Cybersecurity,7,Complete internal QA checklist.
m365_security_assessment,M365 Security Assessment,Cybersecurity,8,"Send closeout summary with recommended next product, bundle, or monthly plan."
small_business_ransomware_readiness_review,Small Business Ransomware Readiness Review,Cybersecurity,1,"Review security objective, systems, and authorization."
small_business_ransomware_readiness_review,Small Business Ransomware Readiness Review,Cybersecurity,2,Collect relevant evidence without storing secrets.
small_business_ransomware_readiness_review,Small Business Ransomware Readiness Review,Cybersecurity,3,"Assess identity, endpoint, email, backup, network, policy, or training scope."
small_business_ransomware_readiness_review,Small Business Ransomware Readiness Review,Cybersecurity,4,Prioritize risks by business impact.
small_business_ransomware_readiness_review,Small Business Ransomware Readiness Review,Cybersecurity,5,Deliver findings and recommended remediation path.
small_business_ransomware_readiness_review,Small Business Ransomware Readiness Review,Cybersecurity,6,Record approvals and close temporary access.
small_business_ransomware_readiness_review,Small Business Ransomware Readiness Review,Cybersecurity,7,Complete internal QA checklist.
small_business_ransomware_readiness_review,Small Business Ransomware Readiness Review,Cybersecurity,8,"Send closeout summary with recommended next product, bundle, or monthly plan."
nonprofit_cyber_readiness_review,Nonprofit Cyber Readiness Review,Cybersecurity,1,"Review security objective, systems, and authorization."
nonprofit_cyber_readiness_review,Nonprofit Cyber Readiness Review,Cybersecurity,2,Collect relevant evidence without storing secrets.
nonprofit_cyber_readiness_review,Nonprofit Cyber Readiness Review,Cybersecurity,3,"Assess identity, endpoint, email, backup, network, policy, or training scope."
nonprofit_cyber_readiness_review,Nonprofit Cyber Readiness Review,Cybersecurity,4,Prioritize risks by business impact.
nonprofit_cyber_readiness_review,Nonprofit Cyber Readiness Review,Cybersecurity,5,Deliver findings and recommended remediation path.
nonprofit_cyber_readiness_review,Nonprofit Cyber Readiness Review,Cybersecurity,6,Record approvals and close temporary access.
nonprofit_cyber_readiness_review,Nonprofit Cyber Readiness Review,Cybersecurity,7,Complete internal QA checklist.
nonprofit_cyber_readiness_review,Nonprofit Cyber Readiness Review,Cybersecurity,8,"Send closeout summary with recommended next product, bundle, or monthly plan."
vendor_access_review,Vendor Access Review,Cybersecurity,1,"Review security objective, systems, and authorization."
vendor_access_review,Vendor Access Review,Cybersecurity,2,Collect relevant evidence without storing secrets.
vendor_access_review,Vendor Access Review,Cybersecurity,3,"Assess identity, endpoint, email, backup, network, policy, or training scope."
vendor_access_review,Vendor Access Review,Cybersecurity,4,Prioritize risks by business impact.
vendor_access_review,Vendor Access Review,Cybersecurity,5,Deliver findings and recommended remediation path.
vendor_access_review,Vendor Access Review,Cybersecurity,6,Record approvals and close temporary access.
vendor_access_review,Vendor Access Review,Cybersecurity,7,Complete internal QA checklist.
vendor_access_review,Vendor Access Review,Cybersecurity,8,"Send closeout summary with recommended next product, bundle, or monthly plan."
admin_privilege_review,Admin Privilege Review,Cybersecurity,1,"Review security objective, systems, and authorization."
admin_privilege_review,Admin Privilege Review,Cybersecurity,2,Collect relevant evidence without storing secrets.
admin_privilege_review,Admin Privilege Review,Cybersecurity,3,"Assess identity, endpoint, email, backup, network, policy, or training scope."
admin_privilege_review,Admin Privilege Review,Cybersecurity,4,Prioritize risks by business impact.
admin_privilege_review,Admin Privilege Review,Cybersecurity,5,Deliver findings and recommended remediation path.
admin_privilege_review,Admin Privilege Review,Cybersecurity,6,Record approvals and close temporary access.
admin_privilege_review,Admin Privilege Review,Cybersecurity,7,Complete internal QA checklist.
admin_privilege_review,Admin Privilege Review,Cybersecurity,8,"Send closeout summary with recommended next product, bundle, or monthly plan."
mfa_enforcement_project,MFA Enforcement Project,Cybersecurity,1,"Review security objective, systems, and authorization."
mfa_enforcement_project,MFA Enforcement Project,Cybersecurity,2,Collect relevant evidence without storing secrets.
mfa_enforcement_project,MFA Enforcement Project,Cybersecurity,3,"Assess identity, endpoint, email, backup, network, policy, or training scope."
mfa_enforcement_project,MFA Enforcement Project,Cybersecurity,4,Prioritize risks by business impact.
mfa_enforcement_project,MFA Enforcement Project,Cybersecurity,5,Deliver findings and recommended remediation path.
mfa_enforcement_project,MFA Enforcement Project,Cybersecurity,6,Record approvals and close temporary access.
mfa_enforcement_project,MFA Enforcement Project,Cybersecurity,7,Complete internal QA checklist.
mfa_enforcement_project,MFA Enforcement Project,Cybersecurity,8,"Send closeout summary with recommended next product, bundle, or monthly plan."
password_manager_rollout,Password Manager Rollout,Cybersecurity,1,"Review security objective, systems, and authorization."
password_manager_rollout,Password Manager Rollout,Cybersecurity,2,Collect relevant evidence without storing secrets.
password_manager_rollout,Password Manager Rollout,Cybersecurity,3,"Assess identity, endpoint, email, backup, network, policy, or training scope."
password_manager_rollout,Password Manager Rollout,Cybersecurity,4,Prioritize risks by business impact.
password_manager_rollout,Password Manager Rollout,Cybersecurity,5,Deliver findings and recommended remediation path.
password_manager_rollout,Password Manager Rollout,Cybersecurity,6,Record approvals and close temporary access.
password_manager_rollout,Password Manager Rollout,Cybersecurity,7,Complete internal QA checklist.
password_manager_rollout,Password Manager Rollout,Cybersecurity,8,"Send closeout summary with recommended next product, bundle, or monthly plan."
email_security_hardening,Email Security Hardening,Cybersecurity,1,"Review security objective, systems, and authorization."
email_security_hardening,Email Security Hardening,Cybersecurity,2,Collect relevant evidence without storing secrets.
email_security_hardening,Email Security Hardening,Cybersecurity,3,"Assess identity, endpoint, email, backup, network, policy, or training scope."
email_security_hardening,Email Security Hardening,Cybersecurity,4,Prioritize risks by business impact.
email_security_hardening,Email Security Hardening,Cybersecurity,5,Deliver findings and recommended remediation path.
email_security_hardening,Email Security Hardening,Cybersecurity,6,Record approvals and close temporary access.
email_security_hardening,Email Security Hardening,Cybersecurity,7,Complete internal QA checklist.
email_security_hardening,Email Security Hardening,Cybersecurity,8,"Send closeout summary with recommended next product, bundle, or monthly plan."
endpoint_protection_rollout,Endpoint Protection Rollout,Cybersecurity,1,"Review security objective, systems, and authorization."
endpoint_protection_rollout,Endpoint Protection Rollout,Cybersecurity,2,Collect relevant evidence without storing secrets.
endpoint_protection_rollout,Endpoint Protection Rollout,Cybersecurity,3,"Assess identity, endpoint, email, backup, network, policy, or training scope."
endpoint_protection_rollout,Endpoint Protection Rollout,Cybersecurity,4,Prioritize risks by business impact.
endpoint_protection_rollout,Endpoint Protection Rollout,Cybersecurity,5,Deliver findings and recommended remediation path.
endpoint_protection_rollout,Endpoint Protection Rollout,Cybersecurity,6,Record approvals and close temporary access.
endpoint_protection_rollout,Endpoint Protection Rollout,Cybersecurity,7,Complete internal QA checklist.
endpoint_protection_rollout,Endpoint Protection Rollout,Cybersecurity,8,"Send closeout summary with recommended next product, bundle, or monthly plan."
local_admin_removal_project,Local Admin Removal Project,Cybersecurity,1,"Review security objective, systems, and authorization."
local_admin_removal_project,Local Admin Removal Project,Cybersecurity,2,Collect relevant evidence without storing secrets.
local_admin_removal_project,Local Admin Removal Project,Cybersecurity,3,"Assess identity, endpoint, email, backup, network, policy, or training scope."
local_admin_removal_project,Local Admin Removal Project,Cybersecurity,4,Prioritize risks by business impact.
local_admin_removal_project,Local Admin Removal Project,Cybersecurity,5,Deliver findings and recommended remediation path.
local_admin_removal_project,Local Admin Removal Project,Cybersecurity,6,Record approvals and close temporary access.
local_admin_removal_project,Local Admin Removal Project,Cybersecurity,7,Complete internal QA checklist.
local_admin_removal_project,Local Admin Removal Project,Cybersecurity,8,"Send closeout summary with recommended next product, bundle, or monthly plan."
bitlocker_encryption_rollout,BitLocker Encryption Rollout,Cybersecurity,1,"Review security objective, systems, and authorization."
bitlocker_encryption_rollout,BitLocker Encryption Rollout,Cybersecurity,2,Collect relevant evidence without storing secrets.
bitlocker_encryption_rollout,BitLocker Encryption Rollout,Cybersecurity,3,"Assess identity, endpoint, email, backup, network, policy, or training scope."
bitlocker_encryption_rollout,BitLocker Encryption Rollout,Cybersecurity,4,Prioritize risks by business impact.
bitlocker_encryption_rollout,BitLocker Encryption Rollout,Cybersecurity,5,Deliver findings and recommended remediation path.
bitlocker_encryption_rollout,BitLocker Encryption Rollout,Cybersecurity,6,Record approvals and close temporary access.
bitlocker_encryption_rollout,BitLocker Encryption Rollout,Cybersecurity,7,Complete internal QA checklist.
bitlocker_encryption_rollout,BitLocker Encryption Rollout,Cybersecurity,8,"Send closeout summary with recommended next product, bundle, or monthly plan."
dns_filtering_setup,DNS Filtering Setup,Cybersecurity,1,"Review security objective, systems, and authorization."
dns_filtering_setup,DNS Filtering Setup,Cybersecurity,2,Collect relevant evidence without storing secrets.
dns_filtering_setup,DNS Filtering Setup,Cybersecurity,3,"Assess identity, endpoint, email, backup, network, policy, or training scope."
dns_filtering_setup,DNS Filtering Setup,Cybersecurity,4,Prioritize risks by business impact.
dns_filtering_setup,DNS Filtering Setup,Cybersecurity,5,Deliver findings and recommended remediation path.
dns_filtering_setup,DNS Filtering Setup,Cybersecurity,6,Record approvals and close temporary access.
dns_filtering_setup,DNS Filtering Setup,Cybersecurity,7,Complete internal QA checklist.
dns_filtering_setup,DNS Filtering Setup,Cybersecurity,8,"Send closeout summary with recommended next product, bundle, or monthly plan."
security_awareness_training_setup,Security Awareness Training Setup,Cybersecurity,1,"Review security objective, systems, and authorization."
security_awareness_training_setup,Security Awareness Training Setup,Cybersecurity,2,Collect relevant evidence without storing secrets.
security_awareness_training_setup,Security Awareness Training Setup,Cybersecurity,3,"Assess identity, endpoint, email, backup, network, policy, or training scope."
security_awareness_training_setup,Security Awareness Training Setup,Cybersecurity,4,Prioritize risks by business impact.
security_awareness_training_setup,Security Awareness Training Setup,Cybersecurity,5,Deliver findings and recommended remediation path.
security_awareness_training_setup,Security Awareness Training Setup,Cybersecurity,6,Record approvals and close temporary access.
security_awareness_training_setup,Security Awareness Training Setup,Cybersecurity,7,Complete internal QA checklist.
security_awareness_training_setup,Security Awareness Training Setup,Cybersecurity,8,"Send closeout summary with recommended next product, bundle, or monthly plan."
incident_response_plan_starter,Incident Response Plan Starter,Cybersecurity,1,"Review security objective, systems, and authorization."
incident_response_plan_starter,Incident Response Plan Starter,Cybersecurity,2,Collect relevant evidence without storing secrets.
incident_response_plan_starter,Incident Response Plan Starter,Cybersecurity,3,"Assess identity, endpoint, email, backup, network, policy, or training scope."
incident_response_plan_starter,Incident Response Plan Starter,Cybersecurity,4,Prioritize risks by business impact.
incident_response_plan_starter,Incident Response Plan Starter,Cybersecurity,5,Deliver findings and recommended remediation path.
incident_response_plan_starter,Incident Response Plan Starter,Cybersecurity,6,Record approvals and close temporary access.
incident_response_plan_starter,Incident Response Plan Starter,Cybersecurity,7,Complete internal QA checklist.
incident_response_plan_starter,Incident Response Plan Starter,Cybersecurity,8,"Send closeout summary with recommended next product, bundle, or monthly plan."
cyber_insurance_readiness_package,Cyber Insurance Readiness Package,Cybersecurity,1,"Review security objective, systems, and authorization."
cyber_insurance_readiness_package,Cyber Insurance Readiness Package,Cybersecurity,2,Collect relevant evidence without storing secrets.
cyber_insurance_readiness_package,Cyber Insurance Readiness Package,Cybersecurity,3,"Assess identity, endpoint, email, backup, network, policy, or training scope."
cyber_insurance_readiness_package,Cyber Insurance Readiness Package,Cybersecurity,4,Prioritize risks by business impact.
cyber_insurance_readiness_package,Cyber Insurance Readiness Package,Cybersecurity,5,Deliver findings and recommended remediation path.
cyber_insurance_readiness_package,Cyber Insurance Readiness Package,Cybersecurity,6,Record approvals and close temporary access.
cyber_insurance_readiness_package,Cyber Insurance Readiness Package,Cybersecurity,7,Complete internal QA checklist.
cyber_insurance_readiness_package,Cyber Insurance Readiness Package,Cybersecurity,8,"Send closeout summary with recommended next product, bundle, or monthly plan."
security_awareness_lunch_learn,Security Awareness Lunch & Learn,Cybersecurity,1,"Review security objective, systems, and authorization."
security_awareness_lunch_learn,Security Awareness Lunch & Learn,Cybersecurity,2,Collect relevant evidence without storing secrets.
security_awareness_lunch_learn,Security Awareness Lunch & Learn,Cybersecurity,3,"Assess identity, endpoint, email, backup, network, policy, or training scope."
security_awareness_lunch_learn,Security Awareness Lunch & Learn,Cybersecurity,4,Prioritize risks by business impact.
security_awareness_lunch_learn,Security Awareness Lunch & Learn,Cybersecurity,5,Deliver findings and recommended remediation path.
security_awareness_lunch_learn,Security Awareness Lunch & Learn,Cybersecurity,6,Record approvals and close temporary access.
security_awareness_lunch_learn,Security Awareness Lunch & Learn,Cybersecurity,7,Complete internal QA checklist.
security_awareness_lunch_learn,Security Awareness Lunch & Learn,Cybersecurity,8,"Send closeout summary with recommended next product, bundle, or monthly plan."
owner_admin_security_training,Owner/Admin Security Training,Cybersecurity,1,"Review security objective, systems, and authorization."
owner_admin_security_training,Owner/Admin Security Training,Cybersecurity,2,Collect relevant evidence without storing secrets.
owner_admin_security_training,Owner/Admin Security Training,Cybersecurity,3,"Assess identity, endpoint, email, backup, network, policy, or training scope."
owner_admin_security_training,Owner/Admin Security Training,Cybersecurity,4,Prioritize risks by business impact.
owner_admin_security_training,Owner/Admin Security Training,Cybersecurity,5,Deliver findings and recommended remediation path.
owner_admin_security_training,Owner/Admin Security Training,Cybersecurity,6,Record approvals and close temporary access.
owner_admin_security_training,Owner/Admin Security Training,Cybersecurity,7,Complete internal QA checklist.
owner_admin_security_training,Owner/Admin Security Training,Cybersecurity,8,"Send closeout summary with recommended next product, bundle, or monthly plan."
staff_security_starter,Staff Security Starter,Cybersecurity,1,"Review security objective, systems, and authorization."
staff_security_starter,Staff Security Starter,Cybersecurity,2,Collect relevant evidence without storing secrets.
staff_security_starter,Staff Security Starter,Cybersecurity,3,"Assess identity, endpoint, email, backup, network, policy, or training scope."
staff_security_starter,Staff Security Starter,Cybersecurity,4,Prioritize risks by business impact.
staff_security_starter,Staff Security Starter,Cybersecurity,5,Deliver findings and recommended remediation path.
staff_security_starter,Staff Security Starter,Cybersecurity,6,Record approvals and close temporary access.
staff_security_starter,Staff Security Starter,Cybersecurity,7,Complete internal QA checklist.
staff_security_starter,Staff Security Starter,Cybersecurity,8,"Send closeout summary with recommended next product, bundle, or monthly plan."
microsoft_365_tenant_setup,Microsoft 365 Tenant Setup,Microsoft 365,1,Confirm tenant/domain and authorized admin access.
microsoft_365_tenant_setup,Microsoft 365 Tenant Setup,Microsoft 365,2,"Review users, groups, admin roles, licenses, mail, Teams, SharePoint, and security settings as applicable."
microsoft_365_tenant_setup,Microsoft 365 Tenant Setup,Microsoft 365,3,Make approved configuration changes only within scope.
microsoft_365_tenant_setup,Microsoft 365 Tenant Setup,Microsoft 365,4,Document before/after findings.
microsoft_365_tenant_setup,Microsoft 365 Tenant Setup,Microsoft 365,5,Provide customer report and follow-up recommendations.
microsoft_365_tenant_setup,Microsoft 365 Tenant Setup,Microsoft 365,6,Complete internal QA checklist.
microsoft_365_tenant_setup,Microsoft 365 Tenant Setup,Microsoft 365,7,"Send closeout summary with recommended next product, bundle, or monthly plan."
microsoft_365_tenant_cleanup,Microsoft 365 Tenant Cleanup,Microsoft 365,1,Confirm tenant/domain and authorized admin access.
microsoft_365_tenant_cleanup,Microsoft 365 Tenant Cleanup,Microsoft 365,2,"Review users, groups, admin roles, licenses, mail, Teams, SharePoint, and security settings as applicable."
microsoft_365_tenant_cleanup,Microsoft 365 Tenant Cleanup,Microsoft 365,3,Make approved configuration changes only within scope.
microsoft_365_tenant_cleanup,Microsoft 365 Tenant Cleanup,Microsoft 365,4,Document before/after findings.
microsoft_365_tenant_cleanup,Microsoft 365 Tenant Cleanup,Microsoft 365,5,Provide customer report and follow-up recommendations.
microsoft_365_tenant_cleanup,Microsoft 365 Tenant Cleanup,Microsoft 365,6,Complete internal QA checklist.
microsoft_365_tenant_cleanup,Microsoft 365 Tenant Cleanup,Microsoft 365,7,"Send closeout summary with recommended next product, bundle, or monthly plan."
microsoft_365_monthly_admin,Microsoft 365 Monthly Admin,Microsoft 365,1,Confirm tenant/domain and authorized admin access.
microsoft_365_monthly_admin,Microsoft 365 Monthly Admin,Microsoft 365,2,"Review users, groups, admin roles, licenses, mail, Teams, SharePoint, and security settings as applicable."
microsoft_365_monthly_admin,Microsoft 365 Monthly Admin,Microsoft 365,3,Make approved configuration changes only within scope.
microsoft_365_monthly_admin,Microsoft 365 Monthly Admin,Microsoft 365,4,Document before/after findings.
microsoft_365_monthly_admin,Microsoft 365 Monthly Admin,Microsoft 365,5,Provide customer report and follow-up recommendations.
microsoft_365_monthly_admin,Microsoft 365 Monthly Admin,Microsoft 365,6,Complete internal QA checklist.
microsoft_365_monthly_admin,Microsoft 365 Monthly Admin,Microsoft 365,7,"Send closeout summary with recommended next product, bundle, or monthly plan."
microsoft_365_security_baseline,Microsoft 365 Security Baseline,Microsoft 365,1,Confirm tenant/domain and authorized admin access.
microsoft_365_security_baseline,Microsoft 365 Security Baseline,Microsoft 365,2,"Review users, groups, admin roles, licenses, mail, Teams, SharePoint, and security settings as applicable."
microsoft_365_security_baseline,Microsoft 365 Security Baseline,Microsoft 365,3,Make approved configuration changes only within scope.
microsoft_365_security_baseline,Microsoft 365 Security Baseline,Microsoft 365,4,Document before/after findings.
